cd,per,n_ent,fol,ent,con,v_sel,n_hog,h_mud,n_ren,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,factor
"14","1122","1","11B213","01","40003","4","1","0","01","5","4","3","4","4","4","3","3","2","4","4","6","5","3","3",7160
"14","1122","1","11B213","01","40003","3","1","0","02","4","4","3","4","4","3","3","3","2","2","4","6","3","3","3",35800
"14","1122","1","11B213","01","40003","1","1","0","01","4","4","4","4","5","4","3","3","2","2","4","6","3","3","3",7160
"14","1122","1","11B213","01","40003","2","1","0","01","3","2","3","2","4","4","2","3","2","1","3","6","3","3","2",7160
"14","1122","8","12A204","01","40005","1","1","0","01","3","4","3","3","4","4","3","3","2","2","4","6","3","3","3",30419
"14","1122","8","12A204","01","40005","2","1","0","01","3","2","3","3","4","4","2","3","2","2","3","6","4","3","2",20279
"14","1122","8","12A204","01","40005","4","1","0","01","4","4","4","5","4","4","3","3","2","4","4","6","4","3","3",20279
"14","1122","8","12A204","01","40005","3","1","0","01","3","3","3","2","4","2","2","3","2","2","4","6","4","3","3",40558
"14","1122","5","12A207","01","40007","4","1","0","01","4","2","4","3","3","2","3","3","2","2","4","6","3","3","3",23464
"14","1122","5","12A207","01","40007","1","1","0","01","3","2","3","3","3","4","1","2","2","2","3","6","4","3","2",17598
"14","1122","5","12A207","01","40007","3","1","0","02","5","4","3","4","4","4","3","3","2","2","4","6","5","3","1",23464
"14","1122","5","12A207","01","40007","2","1","0","02","3","4","3","3","4","4","2","3","2","4","3","6","3","3","3",11732
"14","1122","4","11A218","01","40029","1","1","0","01","3","2","3","2","3","2","3","3","2","4","4","6","2","3","3",16043
"14","1122","4","11A218","01","40029","2","1","0","04","3","2","3","3","4","5","3","3","2","2","3","6","3","3","3",32086
"14","1122","4","11A218","01","40029","3","1","0","01","4","4","4","3","4","5","3","3","2","2","4","6","3","3","3",24065
"14","1122","4","11A218","01","40029","4","1","0","01","4","2","3","4","4","4","3","3","2","2","4","6","4","3","3",24065
"14","1122","1","12B213","01","40034","2","1","0","01","4","3","4","4","4","4","2","3","2","2","4","6","5","3","3",16680
"14","1122","1","12B213","01","40034","4","1","0","02","5","4","3","4","4","4","3","3","2","2","4","6","3","2","2",41700
"14","1122","1","12B213","01","40034","3","1","0","01","4","4","3","2","4","4","2","3","2","2","3","6","4","3","3",16680
"14","1122","1","12B213","01","40034","1","1","0","02","4","3","3","4","4","4","3","3","2","2","4","6","2","3","3",25020
