cd,per,mpio,n_ent,ageb,upm,area,fol,ent,con,n_pro_viv,v_sel,n_hog,h_mud,r_pre,fch_pre,r_def,fch_def,e_obs,cta_ent,cta_sup,p1,p2,p3,p4,r_inf,r_ele,tel,r_hab,r_nue,r_aus,obs
"14","0322","001","6","319-1","0101485","14","12B196","01","40085","0067","3","1","0","00","2022-03-09","00","2022-03-10","1","-","-","04","1","","","02","02","-","04","00","00",""
"14","0322","001","6","319-1","0101485","14","12B196","01","40085","0030","1","1","0","00","2022-03-11","00","2022-03-15","1","-","-","03","1","","","02","02","-","03","00","00",""
"14","0322","001","6","319-1","0101485","14","12B196","01","40085","0125","4","1","0","00","2022-03-11","00","2022-03-15","1","-","-","03","1","","","01","01","-","03","00","00",""
"14","0322","001","6","319-1","0101485","14","12B196","01","40085","0055","2","1","0","00","2022-03-09","00","2022-03-10","1","-","-","05","1","","","03","03","-","05","00","00",""
"14","0322","001","6","373-6","0101791","14","11B196","01","40086","0015","1","1","0","00","2022-03-09","00","2022-03-10","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0322","001","6","373-6","0101791","14","11B196","01","40086","0098","3","1","0","00","2022-03-15","00","2022-03-18","1","-","-","05","1","","","03","02","-","05","00","00",""
"14","0322","001","6","373-6","0101791","14","11B196","01","40086","0053","4","1","0","00","2022-03-15","00","2022-03-18","1","-","-","05","1","","","01","01","-","05","00","00",""
"14","0322","001","6","373-6","0101791","14","11B196","01","40086","0042","2","1","1","00","2022-03-15","00","2022-03-18","1","-","-","05","1","","","01","01","-","05","00","00",""
"14","0322","001","2","301-1","0101370","14","11B202","01","40111","0012","1","1","0","00","2022-03-04","00","2022-03-06","2","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0322","001","2","301-1","0101370","14","11B202","01","40111","0061","3","1","0","00","2022-03-14","00","2022-03-15","1","-","-","02","1","","","02","02","-","02","00","00",""
"14","0322","001","2","301-1","0101370","14","11B202","01","40111","0087","4","1","0","00","2022-03-16","00","2022-03-18","1","-","-","05","1","","","01","01","-","05","00","00",""
"14","0322","001","2","301-1","0101370","14","11B202","01","40111","0035","2","1","0","00","2022-03-04","00","2022-03-15","1","-","-","04","1","","","01","02","-","04","00","00",""
"14","0322","001","2","326-1","0101536","14","13B202","01","40112","0013","1","1","0","00","2022-03-04","00","2022-03-06","1","-","-","07","1","","","01","01","-","07","00","00",""
"14","0322","001","2","326-1","0101536","14","13B202","01","40112","0033","2","1","0","00","2022-03-04","00","2022-03-06","1","-","-","03","1","","","01","01","-","03","00","00",""
"14","0322","001","2","326-1","0101536","14","13B202","01","40112","0055","3","1","0","00","2022-03-04","00","2022-03-06","1","-","-","04","1","","","01","01","-","04","00","00",""
"14","0322","001","2","326-1","0101536","14","13B202","01","40112","0071","4","1","0","00","2022-03-04","00","2022-03-06","1","-","-","03","1","","","01","01","-","03","00","00",""
"14","0322","001","8","336-5","0101631","14","12B194","01","40212","0040","2","1","0","00","2022-03-02","00","2022-03-02","2","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0322","001","8","336-5","0101631","14","12B194","01","40212","0174","1","1","0","06","2022-03-22","06","2022-03-22","1","-","-",""," ","","","","","-","","","",""
"14","0322","001","8","336-5","0101631","14","12B194","01","40212","0139","4","1","0","00","2022-03-02","00","2022-03-02","2","-","-","02","1","","","01","01","-","02","00","00",""
"14","0322","001","8","336-5","0101631","14","12B194","01","40212","0179","3","1","0","00","2022-03-02","00","2022-03-08","2","-","-","05","1","","","02","04","-","05","00","00",""
"14","0322","001","4","285-0","0101285","14","12A208","01","40237","0101","3","1","0","00","2022-03-07","00","2022-03-18","2","-","-","02","1","","","02","02","-","02","00","00",""
"14","0322","001","4","285-0","0101285","14","12A208","01","40237","0141","4","1","0","00","2022-03-07","00","2022-03-18","2","-","-","04","1","","","02","01","-","04","00","00",""
"14","0322","001","4","285-0","0101285","14","12A208","01","40237","0025","1","1","0","00","2022-03-07","00","2022-03-18","2","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0322","001","4","285-0","0101285","14","12A208","01","40237","0064","2","1","0","00","2022-03-07","00","2022-03-18","2","-","-","02","1","","","02","02","-","02","00","00",""
"14","0322","001","1","280-8","0101258","14","11B203","01","40240","0011","4","1","0","00","2022-03-02","00","2022-03-02","1","-","-","06","1","","","01","01","-","06","00","00",""
"14","0322","001","1","280-8","0101258","14","11B203","01","40240","0068","3","1","0","00","2022-03-08","00","2022-03-18","2","-","-","04","1","","","01","01","-","04","00","00",""
"14","0322","001","1","280-8","0101258","14","11B203","01","40240","0121","2","1","0","00","2022-03-08","00","2022-03-18","2","-","-","05","1","","","02","01","-","05","00","00",""
"14","0322","001","1","280-8","0101258","14","11B203","01","40240","0089","1","1","0","00","2022-03-01","00","2022-03-02","2","-","-","05","1","","","01","03","-","05","00","00",""
"14","0322","001","5","130-1","0100391","14","12B197","01","40246","0353","3","1","0","00","2022-03-08","00","2022-03-08","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0322","001","5","130-1","0100391","14","12B197","01","40246","0029","2","1","0","00","2022-03-08","00","2022-03-08","1","-","-","04","1","","","02","02","-","04","00","00",""
"14","0322","001","5","130-1","0100391","14","12B197","01","40246","0076","1","1","0","00","2022-03-08","00","2022-03-08","1","-","-","10","1","","","02","02","-","10","00","00",""
"14","0322","001","5","130-1","0100391","14","12B197","01","40246","0234","4","1","0","00","2022-03-08","00","2022-03-08","1","-","-","02","1","","","01","01","-","02","00","00",""
"14","0322","001","4","219-3","0100750","14","11A208","01","40265","0090","3","1","1","00","2022-03-02","00","2022-03-02","1","-","-","04","1","","","01","01","-","04","00","00",""
"14","0322","001","4","219-3","0100750","14","11A208","01","40265","0117","4","1","0","00","2022-03-02","00","2022-03-02","1","-","-","03","1","","","02","02","-","03","00","00",""
"14","0322","001","4","219-3","0100750","14","11A208","01","40265","0056","2","1","0","00","2022-03-02","00","2022-03-02","1","-","-","03","1","","","02","02","-","03","00","00",""
"14","0322","001","4","219-3","0100750","14","11A208","01","40265","0012","1","1","0","00","2022-03-02","00","2022-03-02","1","-","-","03","1","","","01","01","-","03","00","00",""
"14","0322","001","1","268-7","0101118","14","12B203","01","40271","0022","1","1","0","00","2022-03-17","00","2022-03-18","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0322","001","1","268-7","0101118","14","12B203","01","40271","0129","4","1","0","00","2022-03-22","00","2022-03-22","2","-","-","06","1","","","01","03","-","06","00","00",""
"14","0322","001","1","268-7","0101118","14","12B203","01","40271","0054","2","1","0","00","2022-03-14","00","2022-03-15","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0322","001","1","268-7","0101118","14","12B203","01","40271","0094","3","1","0","07","2022-03-22","07","2022-03-22","1","-","-",""," ","","","","","-","","","",""
"14","0322","001","8","311-5","0101440","14","11B194","01","40272","0081","2","1","0","00","2022-03-03","00","2022-03-06","1","-","-","02","1","","","01","01","-","02","00","00",""
"14","0322","001","8","311-5","0101440","14","11B194","01","40272","0111","3","1","0","00","2022-03-03","00","2022-03-06","1","-","-","04","1","","","01","01","-","04","00","00",""
"14","0322","001","8","311-5","0101440","14","11B194","01","40272","0011","4","1","0","00","2022-03-03","00","2022-03-06","1","-","-","06","1","","","02","02","-","06","00","00",""
"14","0322","001","8","311-5","0101440","14","11B194","01","40272","0049","1","1","0","00","2022-03-11","00","2022-03-15","1","-","-","06","1","","","01","01","-","06","00","00",""
"14","0322","001","3","398-6","0101947","14","12B201","01","40297","0003","1","1","0","00","2022-03-10","00","2022-03-10","1","-","-","02","1","","","02","02","-","02","00","00",""
"14","0322","001","3","398-6","0101947","14","12B201","01","40297","0079","4","1","0","00","2022-03-10","00","2022-03-10","1","-","-","04","1","","","01","01","-","04","00","00",""
"14","0322","001","3","398-6","0101947","14","12B201","01","40297","0028","2","1","0","00","2022-03-07","00","2022-03-08","2","-","-","02","1","","","02","02","-","02","00","00",""
"14","0322","001","3","398-6","0101947","14","12B201","01","40297","0053","3","1","0","00","2022-03-07","00","2022-03-08","2","-","-","06","1","","","02","02","-","06","00","00",""
"14","0322","001","7","266-8","0101102","14","11B195","01","40341","0152","2","1","0","00","2022-03-01","00","2022-03-02","1","-","-","06","1","","","01","01","-","06","00","00",""
"14","0322","001","7","266-8","0101102","14","11B195","01","40341","0034","3","1","0","00","2022-03-01","00","2022-03-02","1","-","-","04","1","","","03","03","-","04","00","00",""
"14","0322","001","7","266-8","0101102","14","11B195","01","40341","0075","4","1","0","00","2022-03-01","00","2022-03-02","1","-","-","04","1","","","01","01","-","04","00","00",""
"14","0322","001","7","266-8","0101102","14","11B195","01","40341","0112","1","1","0","00","2022-03-01","00","2022-03-02","2","-","-","04","1","","","02","02","-","04","00","00",""
"21","0322","004","6","665-2","0206495","21","11B196","02","40055","0043","2","1","1","00","2022-03-08","00","2022-03-11","1","-","-","07","1","","","01","03","-","06","01","02",""
"21","0322","004","6","665-2","0206495","21","11B196","02","40055","0108","4","1","0","03","2022-03-18","03","2022-03-18","1","-","-",""," ","","","","","-","","","",""
"21","0322","004","6","665-2","0206495","21","11B196","02","40055","0077","3","1","0","00","2022-03-08","00","2022-03-11","1","-","-","02","1","","","01","01","-","02","00","00",""
"21","0322","004","6","665-2","0206495","21","11B196","02","40055","0012","1","1","0","00","2022-03-17","00","2022-03-18","1","-","-","02","1","","","01","01","-","02","00","00",""
"21","0322","004","2","410-5","0205347","21","12B202","02","40079","0216","4","1","0","00","2022-03-09","00","2022-03-11","1","-","-","01"," ","","","01","01","-","01","00","00",""
