cd,per,n_ent,fol,ent,con,v_sel,n_hog,h_mud,n_ren,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,factor
"14","0522","1","12A215","01","40023","1","1","0","01","3","2","3","2","3","3","1","2","1","1","2","6","3","3","3",23959
"14","0522","1","12A215","01","40023","2","1","0","02","4","4","4","4","3","4","3","3","2","2","4","6","3","3","2",15973
"14","0522","1","12A215","01","40023","3","1","0","01","4","4","2","3","4","4","3","3","2","2","4","4","2","2","2",15973
"14","0522","1","12A215","01","40023","4","1","0","01","4","4","4","4","4","4","3","3","2","2","4","4","3","3","3",15973
"14","0522","8","12B196","01","40085","1","1","0","02","3","2","3","2","3","2","2","3","2","2","3","6","4","3","3",20557
"14","0522","8","12B196","01","40085","4","1","0","01","3","2","3","2","4","3","2","3","2","2","4","6","2","3","1",20557
"14","0522","8","12B196","01","40085","3","1","0","02","3","4","4","4","3","4","3","3","2","4","4","6","2","3","3",30836
"14","0522","8","12B196","01","40085","2","1","0","03","3","2","3","2","4","2","2","3","2","3","4","4","2","3","3",30836
"14","0522","8","11B196","01","40086","3","1","0","02","4","3","4","2","3","2","2","3","2","2","4","6","3","3","3",23862
"14","0522","8","11B196","01","40086","1","1","0","01","3","2","3","2","4","5","2","3","2","2","4","6","3","3","3",7954
"14","0522","8","11B196","01","40086","2","1","1","01","3","2","3","2","3","2","2","3","2","2","3","6","2","2","2",31816
"14","0522","8","11B196","01","40086","4","1","0","01","3","2","3","2","3","2","2","3","2","2","3","4","3","3","3",15908
"14","0522","4","11B202","01","40111","4","1","0","01","3","2","3","2","4","3","3","3","2","4","4","6","4","3","3",24212
"14","0522","4","11B202","01","40111","2","1","0","02","3","2","3","2","4","3","2","3","2","2","4","4","4","3","3",16142
"14","0522","4","11B202","01","40111","1","1","0","01","3","3","3","3","3","2","3","3","2","4","4","6","2","3","3",8071
"14","0522","4","11B202","01","40111","3","1","0","02","3","2","3","3","4","2","3","3","2","2","4","6","4","3","3",16142
"14","0522","4","13B202","01","40112","3","1","0","01","3","2","3","2","4","3","2","3","2","2","3","4","3","3","3",19156
"14","0522","4","13B202","01","40112","1","1","0","01","3","2","3","2","4","4","2","3","2","2","3","6","3","3","2",28734
"14","0522","4","13B202","01","40112","4","1","0","01","4","5","3","3","4","4","3","3","2","2","4","4","3","3","3",28734
"14","0522","4","13B202","01","40112","2","1","0","01","3","3","3","2","4","4","3","3","2","2","4","6","3","3","3",19156
"14","0522","5","12A201","01","40157","1","1","0","01","4","4","4","4","4","3","3","3","2","4","4","6","3","3","3",7740
"14","0522","5","12A201","01","40157","2","1","0","01","3","3","3","3","4","3","2","3","2","2","4","6","2","3","3",7740
"14","0522","5","12A201","01","40157","3","1","0","03","4","2","3","2","4","3","2","3","2","2","2","6","2","3","3",30961
"14","0522","5","12A201","01","40157","4","1","0","02","3","2","3","2","4","2","3","3","2","2","4","6","2","3","3",15480
"14","0522","3","11B203","01","40240","3","1","0","01","3","3","3","3","4","3","2","2","1","2","4","6","3","3","3",14924
"14","0522","3","11B203","01","40240","1","1","0","01","4","4","4","4","5","4","3","3","2","4","4","6","4","3","3",7462
"14","0522","3","11B203","01","40240","4","1","0","01","3","3","3","2","4","4","3","3","2","2","4","6","3","3","3",14924
"14","0522","3","11B203","01","40240","2","1","0","01","2","3","3","3","3","3","3","3","2","2","2","5","3","3","3",14924
"14","0522","7","12B197","01","40246","4","1","0","01","3","2","3","2","3","4","2","3","2","2","3","4","3","3","3",15520
"14","0522","7","12B197","01","40246","3","1","0","01","3","2","3","2","4","4","2","3","2","2","3","6","3","3","1",7760
"14","0522","7","12B197","01","40246","1","1","0","02","3","3","3","3","4","4","3","3","2","4","3","6","4","3","3",54321
"14","0522","7","12B197","01","40246","2","1","0","02","3","4","3","4","4","4","3","3","2","2","4","6","2","3","3",31041
"14","0522","3","12B203","01","40271","1","1","0","01","4","5","4","5","4","5","3","3","2","2","4","6","2","3","3",8362
"14","0522","3","12B203","01","40271","2","1","0","01","4","3","4","3","4","4","3","3","2","2","4","6","4","3","3",8362
"14","0522","3","12B203","01","40271","4","1","0","03","3","2","3","2","4","3","2","3","2","2","2","4","3","3","3",25087
"14","0522","2","12B204","01","40305","1","1","0","03","3","2","3","2","3","2","2","3","2","2","3","6","2","3","3",22125
"14","0522","2","12B204","01","40305","4","1","0","02","3","2","3","2","4","5","2","3","2","2","2","6","2","3","3",22125
"14","0522","2","12B204","01","40305","3","1","0","03","3","2","3","2","3","2","2","3","2","2","3","6","3","3","3",29500
"14","0522","2","12B204","01","40305","2","1","0","01","3","2","3","2","4","3","2","3","2","2","2","6","3","3","3",7375
"14","0522","6","11B198","01","40377","3","1","0","03","3","2","3","3","3","4","2","3","2","2","4","6","3","3","3",23628
"14","0522","6","11B198","01","40377","4","1","0","02","3","3","3","2","3","2","2","3","2","2","3","6","3","3","3",7876
"14","0522","6","11B198","01","40377","1","1","0","03","3","2","3","2","3","2","3","3","2","2","3","6","3","3","3",23628
"14","0522","6","12B198","01","40408","3","1","0","01","5","5","5","5","5","4","3","3","2","2","5","6","5","3","3",7230
"14","0522","6","12B198","01","40408","4","1","0","03","1","2","2","2","4","4","1","2","1","1","2","6","2","3","3",21691
"14","0522","6","12B198","01","40408","2","1","0","02","3","3","3","3","3","3","2","3","2","2","4","5","3","3","3",21691
"14","0522","6","12B198","01","40408","1","1","0","05","2","2","2","2","3","4","1","3","2","1","2","5","3","3","3",21691
"21","0522","1","12A215","02","40024","1","1","0","01","4","2","2","2","2","2","1","1","1","1","3","5","3","3","1",18870
"21","0522","1","12A215","02","40024","3","1","0","01","3","3","3","3","3","3","2","2","1","1","3","3","2","3","3",6290
"21","0522","5","12A201","02","40027","3","1","0","01","3","3","3","3","3","6","2","3","2","2","3","4","3","3","3",8655
"21","0522","5","12A201","02","40027","4","1","0","01","3","2","3","2","2","2","1","2","1","1","2","3","3","3","3",17310
"21","0522","8","11B196","02","40055","3","1","0","01","4","3","3","4","6","4","3","2","2","4","4","6","2","3","3",15590
"21","0522","8","11B196","02","40055","2","1","1","03","2","3","3","2","3","3","2","2","2","1","2","5","3","3","3",31181
"21","0522","8","11B196","02","40055","1","1","0","01","4","2","4","2","4","3","3","3","2","2","4","6","3","3","3",15590
"21","0522","5","11A201","02","40061","2","1","0","02","3","2","2","2","2","2","3","3","1","4","6","1","2","3","3",38319
"21","0522","5","11A201","02","40061","3","1","0","04","2","1","2","1","3","2","1","2","1","1","2","5","3","3","3",47899
"21","0522","5","11A201","02","40061","4","1","0","01","3","2","2","2","2","2","2","2","2","1","3","4","2","3","3",19160
"21","0522","5","11A201","02","40061","1","1","0","02","4","2","4","2","2","2","3","3","2","2","1","5","2","2","1",47899
"21","0522","4","12B202","02","40079","4","1","0","01","3","3","3","3","4","3","1","1","1","1","2","6","3","3","1",14673
"21","0522","4","12B202","02","40079","1","1","0","01","3","3","3","3","4","3","3","3","2","2","3","5","3","3","3",44020
"21","0522","4","12B202","02","40079","2","1","0","01","2","1","1","2","2","2","1","1","1","1","2","6","2","3","1",29347
"21","0522","4","12B202","02","40079","3","1","0","01","5","5","4","3","5","3","3","3","2","2","3","6","2","3","3",29347
"21","0522","8","12B196","02","40086","1","1","0","01","2","3","2","3","2","2","1","2","1","1","2","4","2","1","3",13413
"21","0522","8","12B196","02","40086","2","1","0","01","2","2","2","2","3","2","1","2","1","1","2","4","3","1","3",6706
"21","0522","8","12B196","02","40086","4","1","1","01","2","1","2","2","2","2","3","3","2","2","2","4","4","3","3",20119
"21","0522","1","11A215","02","40087","3","1","0","01","4","3","4","3","4","2","2","3","2","2","3","5","3","3","3",7388
"21","0522","1","11A215","02","40087","4","1","0","02","3","3","2","3","4","3","2","2","1","1","3","6","3","1","1",14776
"21","0522","1","11A215","02","40087","2","1","0","05","2","2","2","2","4","2","2","1","1","1","2","4","3","1","3",22165
"21","0522","1","11A215","02","40087","1","1","0","03","3","2","3","2","3","3","3","3","2","2","4","6","4","2","1",29553
"21","0522","3","11B203","02","40177","4","1","0","01","2","2","2","3","3","2","1","2","1","1","2","5","2","1","3",10836
"21","0522","3","11B203","02","40177","1","1","0","03","3","3","3","3","2","2","3","3","2","2","4","6","4","3","3",32508
"21","0522","3","11B203","02","40177","2","1","0","02","2","2","3","2","2","1","2","2","2","4","2","2","2","3","3",21672
"21","0522","3","13B203","02","40243","2","1","0","02","3","1","1","1","5","5","2","2","1","2","1","6","3","1","1",28989
"21","0522","3","13B203","02","40243","4","1","0","02","4","3","4","3","4","4","3","3","2","2","4","5","5","3","3",19326
"21","0522","7","12B197","02","40249","2","1","0","01","3","1","3","1","3","2","1","1","1","1","1","4","2","1","1",8036
"21","0522","7","12B197","02","40249","1","1","0","02","3","2","3","2","3","3","3","3","2","2","3","6","3","3","3",24107
"21","0522","7","12B197","02","40249","3","1","1","01","3","2","3","2","3","2","2","2","2","1","2","5","2","3","3",16071
"21","0522","2","11B204","02","40303","1","1","0","01","2","2","1","2","2","2","1","1","1","1","2","4","2","1","1",16481
"21","0522","2","11B204","02","40303","2","1","0","01","3","3","3","3","3","4","3","2","2","4","6","2","2","3","3",16481
"21","0522","2","11B204","02","40303","3","1","0","02","3","2","2","2","4","4","2","2","2","2","2","3","3","3","3",16481
"21","0522","2","13B204","02","40305","3","1","0","01","3","2","3","3","4","4","2","2","1","2","3","6","3","1","3",19706
"21","0522","2","13B204","02","40305","4","1","0","03","1","3","3","2","3","3","2","2","1","4","2","4","1","3","3",29558
"21","0522","2","13B204","02","40305","2","1","0","01","2","3","2","3","3","2","1","3","2","2","4","4","2","3","3",49264
"21","0522","6","13B198","02","40347","4","1","1","02","1","1","2","2","4","2","1","1","1","1","3","6","2","3","1",17214
"21","0522","6","13B198","02","40347","1","1","0","03","4","3","3","2","4","4","3","3","2","2","4","6","3","3","3",34428
"21","0522","6","13B198","02","40347","2","1","1","02","3","3","3","2","4","4","2","3","2","2","2","6","2","3","3",17214
"21","0522","6","13B198","02","40347","3","1","0","02","2","2","2","1","3","3","1","2","1","1","3","4","2","1","1",17214
"21","0522","6","11B198","02","40408","3","1","0","02","2","2","2","2","2","2","2","3","2","2","2","6","6","3","2",12736
"21","0522","6","11B198","02","40408","1","1","0","01","1","1","1","1","2","2","1","1","1","1","1","4","1","1","1",6368
