cd,per,mpio,n_ent,ageb,upm,area,fol,ent,con,n_pro_viv,v_sel,n_hog,h_mud,r_pre,fch_pre,r_def,fch_def,e_obs,cta_ent,cta_sup,p1,p2,p3,p4,r_inf,r_ele,tel,r_hab,r_nue,r_aus,obs
14,1222,1,2,043-0,100078,14,11B213,1,40003,83,4,1,0,0,2022-12-05,0,2022-12-08,1,-,-,2,1,,,1,1,-,2,0,0,
14,1222,1,2,043-0,100078,14,11B213,1,40003,107,2,1,0,0,2022-12-05,0,2022-12-08,1,-,-,1, ,,,1,1,-,1,0,0,
14,1222,1,2,043-0,100078,14,11B213,1,40003,55,3,1,0,0,2022-12-05,0,2022-12-08,1,-,-,6,1,,,2,2,-,6,0,0,
14,1222,1,2,043-0,100078,14,11B213,1,40003,10,1,1,0,0,2022-12-05,0,2022-12-08,1,-,-,1, ,,,1,1,-,1,0,0,
14,1222,1,6,049-8,100107,14,12A207,1,40007,66,1,1,0,0,2022-12-05,0,2022-12-08,1,-,-,4,1,,,1,1,-,4,0,0,
14,1222,1,6,049-8,100107,14,12A207,1,40007,95,2,1,0,0,2022-12-05,0,2022-12-14,1,-,-,2,1,,,1,2,-,2,0,0,
14,1222,1,6,049-8,100107,14,12A207,1,40007,22,3,1,0,0,2022-12-05,0,2022-12-08,1,-,-,6,1,,,2,2,-,6,0,0,
14,1222,1,6,049-8,100107,14,12A207,1,40007,1,4,1,0,0,2022-12-05,0,2022-12-14,1,-,-,6,1,,,2,1,-,6,0,0,
14,1222,1,2,213-6,100704,14,12B213,1,40034,55,2,1,0,0,2022-12-02,0,2022-12-05,1,-,-,2,1,,,1,1,-,2,0,0,
14,1222,1,2,213-6,100704,14,12B213,1,40034,83,3,1,0,0,2022-12-02,0,2022-12-05,1,-,-,4,1,,,1,1,-,4,0,0,
14,1222,1,2,213-6,100704,14,12B213,1,40034,46,4,1,0,0,2022-12-02,0,2022-12-05,1,-,-,6,1,,,2,2,-,6,0,0,
14,1222,1,2,213-6,100704,14,12B213,1,40034,96,1,1,0,0,2022-12-14,0,2022-12-14,1,-,-,3,1,,,2,2,-,3,0,0,
14,1222,1,8,285-0,101288,14,12A205,1,40165,74,4,1,0,0,2022-12-08,0,2022-12-09,1,-,-,3,1,,,3,3,-,3,0,0,
14,1222,1,8,285-0,101288,14,12A205,1,40165,53,3,1,0,0,2022-12-08,0,2022-12-09,1,-,-,4,1,,,1,1,-,4,0,0,
14,1222,1,8,285-0,101288,14,12A205,1,40165,26,2,1,0,0,2022-12-08,0,2022-12-09,1,-,-,3,1,,,2,2,-,3,0,0,
14,1222,1,8,285-0,101288,14,12A205,1,40165,3,1,1,0,0,2022-12-08,0,2022-12-09,1,-,-,3,1,,,2,2,-,3,0,0,
14,1222,1,4,271-9,101178,14,12B211,1,40188,109,1,1,0,0,2022-12-06,0,2022-12-08,1,-,-,4,1,,,1,1,-,4,0,0,
14,1222,1,4,271-9,101178,14,12B211,1,40188,48,2,1,0,0,2022-12-06,0,2022-12-08,1,-,-,4,1,,,1,1,-,4,0,0,
14,1222,1,4,271-9,101178,14,12B211,1,40188,80,3,1,0,0,2022-12-06,0,2022-12-08,1,-,-,4,1,,,1,1,-,4,0,0,
14,1222,1,4,271-9,101178,14,12B211,1,40188,34,4,1,0,0,2022-12-06,0,2022-12-08,1,-,-,3,1,,,2,2,-,3,0,0,
14,1222,1,5,285-0,101285,14,12A208,1,40237,141,4,1,0,0,2022-12-09,0,2022-12-11,1,-,-,4,1,,,1,1,-,4,0,0,
14,1222,1,5,285-0,101285,14,12A208,1,40237,101,3,1,0,0,2022-12-09,0,2022-12-11,1,-,-,2,1,,,2,2,-,2,0,0,
14,1222,1,5,285-0,101285,14,12A208,1,40237,25,1,1,0,0,2022-12-09,0,2022-12-11,1,-,-,1, ,,,1,1,-,1,0,0,
14,1222,1,5,285-0,101285,14,12A208,1,40237,64,2,1,0,0,2022-12-09,0,2022-12-11,1,-,-,2,1,,,2,2,-,2,0,0,
14,1222,1,1,255-A,100997,14,12B214,1,40260,103,2,1,0,6,2022-12-15,6,2022-12-16,1,-,-,, ,,,,,-,,,,
14,1222,1,1,255-A,100997,14,12B214,1,40260,50,4,1,0,0,2022-12-15,0,2022-12-16,1,-,-,3,1,,,1,2,-,3,0,0,
14,1222,1,1,255-A,100997,14,12B214,1,40260,77,1,1,0,0,2022-12-14,0,2022-12-14,1,-,-,5,1,,,2,2,-,5,0,0,
14,1222,1,1,255-A,100997,14,12B214,1,40260,23,3,1,0,0,2022-12-13,0,2022-12-14,1,-,-,5,1,,,2,1,-,5,0,0,
14,1222,1,5,219-3,100750,14,11A208,1,40265,90,3,1,1,0,2022-12-07,0,2022-12-08,1,-,-,5,1,,,1,1,-,3,2,1,
14,1222,1,5,219-3,100750,14,11A208,1,40265,56,2,1,0,0,2022-12-15,0,2022-12-16,1,-,-,3,1,,,2,2,-,3,0,0,
14,1222,1,5,219-3,100750,14,11A208,1,40265,12,1,1,1,0,2022-12-07,0,2022-12-16,1,-,-,8,1,,,1,7,-,8,0,0,
14,1222,1,5,219-3,100750,14,11A208,1,40265,117,4,1,0,0,2022-12-07,0,2022-12-08,1,-,-,4,1,,,2,2,-,3,1,0,
14,1222,1,7,309-8,101432,14,13A206,1,40294,44,4,1,0,0,2022-12-02,0,2022-12-05,1,-,-,2,1,,,1,1,-,2,0,0,
14,1222,1,7,309-8,101432,14,13A206,1,40294,104,3,1,0,0,2022-12-02,0,2022-12-05,1,-,-,5,1,,,1,1,-,5,0,0,
14,1222,1,7,309-8,101432,14,13A206,1,40294,19,1,1,0,7,2022-12-02,7,2022-12-05,1,-,-,, ,,,,,-,,,,
14,1222,1,7,309-8,101432,14,13A206,1,40294,72,2,1,0,7,2022-12-02,7,2022-12-05,1,-,-,, ,,,,,-,,,,
14,1222,1,7,359-6,101717,14,11A206,1,40324,65,3,1,0,0,2022-12-01,0,2022-12-02,1,-,-,4,1,,,1,1,-,4,0,0,
14,1222,1,7,359-6,101717,14,11A206,1,40324,16,4,1,0,0,2022-12-01,0,2022-12-02,1,-,-,2,1,,,1,1,-,2,0,0,
14,1222,1,7,359-6,101717,14,11A206,1,40324,108,2,1,0,0,2022-12-01,0,2022-12-02,1,-,-,3,1,,,2,2,-,3,0,0,
14,1222,1,7,359-6,101717,14,11A206,1,40324,80,1,1,0,0,2022-12-01,0,2022-12-02,1,-,-,5,1,,,1,1,-,5,0,0,
14,1222,1,3,140-5,100459,14,11B212,1,40350,62,3,1,0,0,2022-12-15,0,2022-12-16,1,-,-,6,1,,,2,2,-,6,0,0,
14,1222,1,3,140-5,100459,14,11B212,1,40350,86,4,1,0,0,2022-12-07,0,2022-12-08,1,-,-,5,1,,,3,3,-,3,2,1,
14,1222,1,3,140-5,100459,14,11B212,1,40350,42,2,1,0,0,2022-12-07,0,2022-12-08,1,-,-,4,1,,,2,2,-,4,0,1,
14,1222,1,3,140-5,100459,14,11B212,1,40350,21,1,1,0,0,2022-12-07,0,2022-12-08,1,-,-,1, ,,,1,1,-,1,0,0,
14,1222,1,3,373-6,101786,14,13B212,1,40355,42,4,1,0,0,2022-12-12,0,2022-12-14,1,-,-,4,1,,,2,2,-,4,0,0,
14,1222,1,3,373-6,101786,14,13B212,1,40355,45,2,1,0,0,2022-12-15,0,2022-12-16,1,-,-,4,1,,,1,2,-,4,0,0,
14,1222,1,3,373-6,101786,14,13B212,1,40355,90,1,1,0,0,2022-12-15,0,2022-12-16,1,-,-,3,1,,,1,1,-,3,0,0,
14,1222,1,3,373-6,101786,14,13B212,1,40355,75,3,1,0,0,2022-12-12,0,2022-12-14,1,-,-,5,1,,,2,2,-,5,0,0,
