cd,per,n_ent,fol,ent,con,v_sel,n_hog,h_mud,n_ren,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,factor
"14","0222","4","12A207","01","40007","4","1","0","01","3","3","3","3","4","4","2","3","2","2","3","6","4","3","3",22927
"14","0222","4","12A207","01","40007","2","1","0","02","3","3","3","3","4","4","2","3","2","2","3","6","4","3","3",11463
"14","0222","4","12A207","01","40007","3","1","0","02","2","3","3","3","4","3","2","3","2","2","4","6","4","3","3",22927
"14","0222","4","12A207","01","40007","1","1","0","01","3","2","3","2","4","4","2","3","2","2","4","6","3","3","3",17195
"14","0222","8","11B193","01","40048","3","1","0","01","4","4","4","3","4","4","3","3","2","2","4","6","4","3","3",16907
"14","0222","8","11B193","01","40048","1","1","0","06","4","3","4","3","4","4","3","3","2","4","4","6","4","3","3",42266
"14","0222","8","11B193","01","40048","2","1","0","02","3","4","4","3","4","5","3","3","2","2","4","6","4","3","3",16907
"14","0222","8","11B193","01","40048","4","1","0","01","4","5","4","3","4","4","3","3","2","2","4","6","5","3","3",16907
"14","0222","5","12B196","01","40085","4","1","0","01","3","3","3","3","3","3","3","3","2","2","4","4","2","3","3",23517
"14","0222","5","12B196","01","40085","3","1","0","02","4","4","2","2","5","4","3","3","2","4","4","6","4","3","3",35275
"14","0222","5","12B196","01","40085","2","1","0","03","2","4","3","3","4","4","3","3","2","4","4","6","5","3","3",35275
"14","0222","5","12B196","01","40085","1","1","0","02","4","2","3","2","4","4","3","3","2","1","2","6","1","3","1",23517
"14","0222","5","11B196","01","40086","1","1","0","01","2","1","2","1","2","2","1","2","2","1","2","6","3","3","3",7620
"14","0222","5","11B196","01","40086","2","1","1","01","4","4","4","4","4","5","3","3","2","2","5","6","5","3","3",30482
"14","0222","5","11B196","01","40086","4","1","0","01","3","3","3","2","3","3","3","3","2","1","3","6","2","3","3",15241
"14","0222","5","11B196","01","40086","3","1","0","02","4","4","3","2","5","4","3","3","2","2","4","6","4","3","3",22861
"14","0222","1","11B202","01","40111","1","1","0","01","4","5","4","5","4","4","3","3","2","2","5","4","2","3","2",7732
"14","0222","1","11B202","01","40111","4","1","0","01","4","2","4","2","4","4","1","2","1","1","2","3","4","3","3",23197
"14","0222","1","11B202","01","40111","3","1","0","02","2","2","4","4","4","4","1","2","1","1","2","3","1","3","3",15464
"14","0222","1","11B202","01","40111","2","1","0","02","3","2","3","2","4","4","3","3","2","2","3","6","3","3","3",15464
"14","0222","1","13B202","01","40112","2","1","0","01","3","2","3","2","3","3","2","2","2","2","2","4","2","3","1",21914
"14","0222","1","13B202","01","40112","1","1","0","01","5","3","4","3","3","3","3","3","2","1","3","4","1","3","2",32871
"14","0222","1","13B202","01","40112","3","1","0","01","2","3","3","3","4","4","2","3","2","2","3","6","4","3","3",21914
"14","0222","1","13B202","01","40112","4","1","0","01","4","3","4","2","4","4","3","3","2","2","2","6","4","3","3",32871
"14","0222","7","12B194","01","40212","4","1","0","01","3","3","3","3","4","5","2","3","2","2","3","6","4","3","3",33765
"14","0222","7","12B194","01","40212","2","1","0","01","3","2","3","2","4","4","2","2","2","2","3","6","5","3","3",16882
"14","0222","7","12B194","01","40212","3","1","0","04","3","2","3","2","4","4","2","3","2","2","4","6","4","3","3",84412
"14","0222","3","12A208","01","40237","1","1","0","01","3","2","3","2","4","4","1","2","1","1","3","4","4","3","3",7546
"14","0222","3","12A208","01","40237","3","1","0","02","3","4","3","4","4","4","2","3","2","2","4","6","4","3","3",15093
"14","0222","3","12A208","01","40237","4","1","0","01","3","2","3","3","4","4","2","3","2","2","3","6","4","3","3",15093
"14","0222","3","12A208","01","40237","2","1","0","02","3","4","3","4","4","4","3","3","2","2","3","6","4","3","3",15093
"14","0222","3","11A208","01","40265","2","1","0","02","3","3","3","2","4","3","2","3","2","2","4","4","3","3","3",14115
"14","0222","3","11A208","01","40265","3","1","1","01","4","4","3","4","3","3","2","3","2","2","4","6","3","3","3",21173
"14","0222","3","11A208","01","40265","1","1","0","01","3","3","3","4","3","4","3","3","2","2","4","4","2","3","3",7058
"14","0222","3","11A208","01","40265","4","1","0","02","2","2","3","2","4","2","1","2","1","2","3","4","2","2","2",14115
"14","0222","7","11B194","01","40272","2","1","0","01","3","2","3","2","4","4","3","3","2","2","4","6","3","3","3",14474
"14","0222","7","11B194","01","40272","4","1","0","02","3","4","3","4","4","4","3","3","2","2","4","6","4","3","3",28948
"14","0222","7","11B194","01","40272","1","1","0","01","4","3","3","3","4","4","2","3","2","2","4","6","4","3","3",14474
"14","0222","7","11B194","01","40272","3","1","0","01","4","4","3","3","4","4","3","3","2","1","3","6","3","3","1",14474
"14","0222","2","12B201","01","40297","3","1","0","02","4","3","4","3","4","5","3","3","2","2","4","6","3","3","3",16866
"14","0222","2","12B201","01","40297","2","1","0","02","4","4","4","4","5","4","3","3","2","2","4","4","2","3","3",16866
"14","0222","2","12B201","01","40297","1","1","0","02","4","2","4","2","4","2","3","3","2","2","4","6","4","3","3",16866
"14","0222","2","12B201","01","40297","4","1","0","01","3","2","3","2","4","4","2","3","2","2","3","6","3","3","3",16866
"14","0222","6","11B195","01","40341","3","1","0","03","4","4","4","3","4","4","3","3","2","4","4","6","5","3","3",22642
"14","0222","6","11B195","01","40341","4","1","0","01","4","4","4","4","4","4","3","3","2","2","4","6","5","3","3",22642
"14","0222","6","11B195","01","40341","2","1","0","01","3","3","3","2","4","5","2","3","2","2","4","6","4","3","3",37737
"14","0222","6","11B195","01","40341","1","1","0","02","3","2","3","2","4","4","2","3","2","2","3","6","4","3","3",15095
"21","0222","4","11A207","02","40007","3","1","0","01","4","4","4","4","4","4","3","3","2","2","4","6","3","3","3",14685
"21","0222","4","11A207","02","40007","2","1","0","01","3","4","3","3","4","5","3","3","2","2","3","6","4","3","3",7342
"21","0222","4","11A207","02","40007","1","1","1","01","2","2","1","3","3","3","2","3","2","1","3","4","3","2","3",22027
"21","0222","4","12A207","02","40043","4","1","0","02","2","3","2","2","3","3","1","1","1","1","2","6","3","1","1",20497
"21","0222","4","12A207","02","40043","2","1","0","03","3","2","2","2","3","3","2","2","1","1","2","4","2","3","1",20497
"21","0222","4","12A207","02","40043","1","1","0","02","3","3","3","3","3","3","1","2","2","1","3","3","2","3","3",13665
"21","0222","4","12A207","02","40043","3","1","0","02","3","3","2","3","3","3","1","2","1","1","3","3","2","1","1",27330
"21","0222","8","12B193","02","40047","4","1","0","01","3","3","2","3","2","2","2","1","2","1","3","6","3","3","3",14065
"21","0222","8","12B193","02","40047","1","1","1","01","3","2","3","2","3","3","3","2","2","2","3","5","3","3","3",21098
"21","0222","8","12B193","02","40047","2","1","3","01","3","2","3","2","3","2","1","3","2","2","2","4","2","3","1",7033
"21","0222","8","12B193","02","40047","3","1","0","01","2","2","2","2","2","2","1","1","1","2","2","4","2","3","1",14065
"21","0222","5","11B196","02","40055","3","1","0","01","3","2","3","3","2","2","2","2","2","2","2","4","1","3","3",14937
"21","0222","5","11B196","02","40055","2","1","1","02","4","3","2","6","2","2","3","3","3","2","3","7","2","1","1",29873
"21","0222","1","12B202","02","40079","2","1","0","01","1","1","2","2","2","2","2","2","1","1","3","6","2","1","1",15143
"21","0222","1","12B202","02","40079","4","1","0","01","3","3","3","3","4","4","1","1","2","1","3","6","3","3","1",7571
"21","0222","1","12B202","02","40079","1","1","0","01","4","2","3","2","3","3","3","3","2","2","3","6","3","3","3",15143
"21","0222","5","12B196","02","40086","1","1","0","01","3","2","3","2","2","2","2","2","1","1","2","4","2","3","1",13253
"21","0222","5","12B196","02","40086","4","1","1","01","4","2","3","3","3","2","3","3","2","2","2","4","2","1","3",19879
"21","0222","5","12B196","02","40086","2","1","0","01","3","2","3","2","3","2","1","2","1","1","2","4","2","3","1",6626
"21","0222","3","11A208","02","40171","3","1","0","01","2","1","2","2","1","2","1","2","2","1","2","4","2","3","3",19688
"21","0222","3","11A208","02","40171","1","1","0","02","2","3","2","3","2","3","1","2","2","1","3","4","2","3","1",19688
"21","0222","3","11A208","02","40171","2","1","0","01","2","2","2","2","2","2","1","1","1","1","2","3","1","3","2",9844
"21","0222","3","13A208","02","40173","2","1","0","02","2","2","2","2","4","2","2","2","1","1","3","3","3","2","3",22249
"21","0222","7","12B194","02","40271","1","1","0","02","2","2","2","2","3","2","1","3","1","1","3","4","3","3","1",29722
