cd,per,n_ent,fol,ent,con,v_sel,n_hog,h_mud,n_ren,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,factor
"14","0422","7","12B196","01","40085","2","1","0","03","3","2","2","2","4","3","3","3","2","4","2","5","2","3","3",31378
"14","0422","7","12B196","01","40085","1","1","0","02","3","3","3","3","4","4","3","3","2","4","4","6","3","3","3",20919
"14","0422","7","12B196","01","40085","3","1","0","02","4","4","3","3","4","4","3","3","2","4","4","6","4","3","3",31378
"14","0422","7","12B196","01","40085","4","1","0","01","3","3","3","3","2","3","2","2","2","2","2","6","3","3","2",20919
"14","0422","7","11B196","01","40086","4","1","0","01","3","3","3","2","3","3","2","3","2","1","3","6","3","3","3",15439
"14","0422","7","11B196","01","40086","1","1","0","01","2","3","2","3","2","2","3","3","2","2","2","5","2","3","3",7719
"14","0422","7","11B196","01","40086","2","1","1","01","3","3","3","3","4","3","2","2","1","2","2","6","3","3","2",30877
"14","0422","7","11B196","01","40086","3","1","0","02","4","4","4","2","5","5","3","3","2","2","4","6","4","3","3",23158
"14","0422","3","11B202","01","40111","1","1","0","01","3","4","3","4","4","4","3","3","2","2","3","6","4","3","3",7833
"14","0422","3","11B202","01","40111","3","1","0","02","3","2","3","2","3","3","2","3","2","2","3","4","2","3","2",15665
"14","0422","3","11B202","01","40111","4","1","0","01","3","4","3","3","4","3","3","3","2","4","3","6","4","3","3",23498
"14","0422","3","11B202","01","40111","2","1","0","02","3","4","3","2","4","3","3","3","2","2","4","6","2","3","3",15665
"14","0422","3","13B202","01","40112","1","1","0","01","4","3","3","3","4","4","2","3","2","2","3","6","3","3","2",29240
"14","0422","3","13B202","01","40112","4","1","0","01","3","3","3","3","4","3","3","3","2","2","3","5","4","3","3",29240
"14","0422","3","13B202","01","40112","3","1","0","01","3","3","3","2","4","4","2","3","2","2","3","4","3","3","3",19493
"14","0422","3","13B202","01","40112","2","1","0","01","3","2","3","4","4","3","2","3","2","2","4","6","3","3","3",19493
"14","0422","2","11B203","01","40240","4","1","0","01","4","3","3","2","4","3","3","3","2","2","3","4","3","3","3",14484
"14","0422","2","11B203","01","40240","3","1","0","01","3","4","3","3","4","4","3","3","2","2","4","6","4","3","3",14484
"14","0422","2","11B203","01","40240","2","1","0","01","4","3","3","2","4","5","3","3","2","2","3","6","5","3","3",14484
"14","0422","2","11B203","01","40240","1","1","0","03","3","2","3","2","4","3","3","3","2","2","3","6","4","3","3",21725
"14","0422","6","12B197","01","40246","4","1","0","01","3","3","3","4","4","4","2","3","2","2","3","6","3","3","3",15380
"14","0422","6","12B197","01","40246","3","1","0","01","3","2","3","2","4","3","2","3","1","2","2","6","4","3","2",7690
"14","0422","6","12B197","01","40246","2","1","0","02","3","3","3","4","4","4","3","3","2","4","4","6","5","3","3",30760
"14","0422","6","12B197","01","40246","1","1","0","02","4","3","4","4","4","5","3","3","2","2","4","4","3","3","3",53829
"14","0422","2","12B203","01","40271","2","1","0","01","4","3","4","3","4","5","3","3","2","2","4","6","4","3","3",8495
"14","0422","2","12B203","01","40271","1","1","0","01","4","5","4","5","3","4","3","3","2","4","3","6","3","3","3",8495
"14","0422","2","12B203","01","40271","4","1","0","03","3","2","3","2","4","3","2","3","2","2","2","4","3","3","3",25485
"14","0422","4","12B201","01","40297","4","1","0","01","3","2","3","2","4","3","2","3","2","2","3","6","4","3","3",17341
"14","0422","4","12B201","01","40297","1","1","0","02","3","2","3","2","4","4","3","3","2","2","4","6","4","3","3",17341
"14","0422","4","12B201","01","40297","2","1","0","02","4","3","3","4","4","4","3","3","2","2","4","6","4","3","3",17341
"14","0422","4","12B201","01","40297","3","1","0","02","4","3","3","4","4","4","3","3","2","4","4","6","3","3","3",17341
"14","0422","1","12B204","01","40305","4","1","0","02","3","2","3","2","4","4","2","3","2","2","4","6","3","3","3",22477
"14","0422","1","12B204","01","40305","3","1","0","03","4","3","4","4","4","4","3","3","2","2","4","6","4","3","3",29969
"14","0422","1","12B204","01","40305","1","1","0","03","3","2","3","3","4","3","2","3","2","2","4","6","3","3","3",22477
"14","0422","1","12B204","01","40305","2","1","0","01","3","2","3","2","4","2","2","3","2","2","3","6","4","3","3",7492
