cd,per,mpio,n_ent,ageb,upm,area,fol,ent,con,n_pro_viv,v_sel,n_hog,h_mud,r_pre,fch_pre,r_def,fch_def,e_obs,cta_ent,cta_sup,p1,p2,p3,p4,r_inf,r_ele,tel,r_hab,r_nue,r_aus,obs
"14","0522","001","1","271-9","0101180","14","12A215","01","40023","0082","4","1","0","00","2022-05-17","00","2022-05-19","2","-","-","02","1","","","01","01","-","02","00","00",""
"14","0522","001","1","271-9","0101180","14","12A215","01","40023","0036","2","1","0","00","2022-05-17","00","2022-05-19","2","-","-","05","1","","","02","02","-","05","00","00",""
"14","0522","001","1","271-9","0101180","14","12A215","01","40023","0058","3","1","0","00","2022-05-17","00","2022-05-19","2","-","-","03","1","","","01","01","-","03","00","00",""
"14","0522","001","1","271-9","0101180","14","12A215","01","40023","0015","1","1","0","00","2022-05-09","00","2022-05-09","1","-","-","03","1","","","01","01","-","03","00","00",""
"14","0522","001","8","319-1","0101485","14","12B196","01","40085","0030","1","1","0","00","2022-05-16","00","2022-05-17","2","-","-","03","1","","","02","02","-","03","00","00",""
"14","0522","001","8","319-1","0101485","14","12B196","01","40085","0055","2","1","0","00","2022-05-06","00","2022-05-09","1","-","-","05","1","","","03","03","-","05","00","00",""
"14","0522","001","8","319-1","0101485","14","12B196","01","40085","0125","4","1","0","00","2022-05-06","00","2022-05-09","1","-","-","03","1","","","01","01","-","03","00","00",""
"14","0522","001","8","319-1","0101485","14","12B196","01","40085","0067","3","1","0","00","2022-05-06","00","2022-05-09","1","-","-","04","1","","","02","02","-","04","00","00",""
"14","0522","001","8","373-6","0101791","14","11B196","01","40086","0042","2","1","1","00","2022-05-11","00","2022-05-19","2","-","-","05","1","","","01","01","-","05","00","00",""
"14","0522","001","8","373-6","0101791","14","11B196","01","40086","0015","1","1","0","00","2022-05-06","00","2022-05-09","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0522","001","8","373-6","0101791","14","11B196","01","40086","0098","3","1","0","00","2022-05-06","00","2022-05-09","1","-","-","05","1","","","02","02","-","05","00","00",""
"14","0522","001","8","373-6","0101791","14","11B196","01","40086","0053","4","1","0","00","2022-05-16","00","2022-05-17","2","-","-","05","1","","","01","01","-","05","00","00",""
"14","0522","001","4","301-1","0101370","14","11B202","01","40111","0087","4","1","0","00","2022-05-12","00","2022-05-13","1","-","-","05","1","","","01","01","-","05","00","00",""
"14","0522","001","4","301-1","0101370","14","11B202","01","40111","0012","1","1","0","00","2022-05-04","00","2022-05-09","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0522","001","4","301-1","0101370","14","11B202","01","40111","0035","2","1","0","00","2022-05-04","00","2022-05-09","1","-","-","04","1","","","02","02","-","04","00","00",""
"14","0522","001","4","301-1","0101370","14","11B202","01","40111","0061","3","1","0","00","2022-05-04","00","2022-05-09","1","-","-","02","1","","","02","02","-","02","00","00",""
"14","0522","001","4","326-1","0101536","14","13B202","01","40112","0013","1","1","0","00","2022-05-03","00","2022-05-03","1","-","-","07","1","","","01","01","-","07","00","00",""
"14","0522","001","4","326-1","0101536","14","13B202","01","40112","0033","2","1","0","00","2022-05-09","00","2022-05-09","1","-","-","03","1","","","01","01","-","03","00","00",""
"14","0522","001","4","326-1","0101536","14","13B202","01","40112","0055","3","1","0","00","2022-05-03","00","2022-05-09","2","-","-","04","1","","","02","01","-","04","00","00",""
"14","0522","001","4","326-1","0101536","14","13B202","01","40112","0071","4","1","0","00","2022-05-03","00","2022-05-03","1","-","-","03","1","","","01","01","-","03","00","00",""
"14","0522","001","5","228-2","0100809","14","12A201","01","40157","0032","1","1","0","00","2022-05-02","00","2022-05-03","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0522","001","5","228-2","0100809","14","12A201","01","40157","0076","3","1","0","00","2022-05-16","00","2022-05-17","1","-","-","04","1","","","04","03","-","04","00","00",""
"14","0522","001","5","228-2","0100809","14","12A201","01","40157","0047","2","1","0","00","2022-05-02","00","2022-05-03","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0522","001","5","228-2","0100809","14","12A201","01","40157","0093","4","1","0","00","2022-05-02","00","2022-05-03","1","-","-","02","1","","","02","02","-","02","00","00",""
"14","0522","001","3","280-8","0101258","14","11B203","01","40240","0121","2","1","0","00","2022-05-16","00","2022-05-19","2","-","-","05","1","","","02","01","-","05","00","00",""
"14","0522","001","3","280-8","0101258","14","11B203","01","40240","0011","4","1","0","00","2022-05-12","00","2022-05-19","2","-","-","06","1","","","02","01","-","06","00","00",""
"14","0522","001","3","280-8","0101258","14","11B203","01","40240","0089","1","1","0","00","2022-05-12","00","2022-05-13","2","-","-","01"," ","","","01","01","-","01","00","04",""
"14","0522","001","3","280-8","0101258","14","11B203","01","40240","0068","3","1","0","00","2022-05-12","00","2022-05-13","2","-","-","04","1","","","01","01","-","04","00","00",""
"14","0522","001","7","130-1","0100391","14","12B197","01","40246","0234","4","1","0","00","2022-05-02","00","2022-05-03","1","-","-","02","1","","","01","01","-","02","00","00",""
"14","0522","001","7","130-1","0100391","14","12B197","01","40246","0353","3","1","0","00","2022-05-02","00","2022-05-03","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0522","001","7","130-1","0100391","14","12B197","01","40246","0076","1","1","0","00","2022-05-03","00","2022-05-03","1","-","-","10","1","","","02","02","-","10","00","00",""
"14","0522","001","7","130-1","0100391","14","12B197","01","40246","0029","2","1","0","00","2022-05-03","00","2022-05-03","1","-","-","04","1","","","02","02","-","04","00","00",""
"14","0522","001","3","268-7","0101118","14","12B203","01","40271","0129","4","1","0","00","2022-05-09","00","2022-05-09","1","-","-","06","1","","","03","03","-","06","00","00",""
"14","0522","001","3","268-7","0101118","14","12B203","01","40271","0054","2","1","0","00","2022-05-09","00","2022-05-09","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0522","001","3","268-7","0101118","14","12B203","01","40271","0022","1","1","0","00","2022-05-09","00","2022-05-09","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0522","001","3","268-7","0101118","14","12B203","01","40271","0094","3","1","0","03","2022-05-20","03","2022-05-20","1","-","-",""," ","","","","","-","","","",""
"14","0522","001","2","230-A","0100822","14","12B204","01","40305","0018","1","1","0","00","2022-05-11","00","2022-05-13","1","-","-","03","1","","","02","03","-","03","00","00",""
"14","0522","001","2","230-A","0100822","14","12B204","01","40305","0125","4","1","0","00","2022-05-11","00","2022-05-12","1","-","-","04","1","","","02","02","-","04","00","00",""
"14","0522","001","2","230-A","0100822","14","12B204","01","40305","0058","2","1","0","00","2022-05-11","00","2022-05-12","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0522","001","2","230-A","0100822","14","12B204","01","40305","0092","3","1","0","00","2022-05-11","00","2022-05-12","1","-","-","06","1","","","03","03","-","06","00","00",""
"14","0522","001","6","397-1","0101943","14","11B198","01","40377","0084","3","1","0","00","2022-05-13","00","2022-05-17","2","-","-","03","1","","","03","03","-","03","00","00",""
"14","0522","001","6","397-1","0101943","14","11B198","01","40377","0025","1","1","0","00","2022-05-13","00","2022-05-17","2","-","-","04","1","","","03","03","-","04","00","00",""
"14","0522","001","6","397-1","0101943","14","11B198","01","40377","0112","4","1","0","00","2022-05-11","00","2022-05-12","1","-","-","04","1","","","02","02","-","04","00","00",""
"14","0522","001","6","397-1","0101943","14","11B198","01","40377","0053","2","1","0","06","2022-05-20","06","2022-05-20","1","-","-",""," ","","","","","-","","","",""
"14","0522","001","6","349-2","0101667","14","12B198","01","40408","0054","1","1","0","00","2022-05-11","00","2022-05-13","2","-","-","04","1","","","05","05","-","04","00","07",""
"14","0522","001","6","349-2","0101667","14","12B198","01","40408","0120","4","1","0","00","2022-05-13","00","2022-05-19","2","-","-","03","1","","","03","03","-","03","00","00",""
"14","0522","001","6","349-2","0101667","14","12B198","01","40408","0016","2","1","0","00","2022-05-13","00","2022-05-19","2","-","-","05","1","","","02","02","-","05","00","00",""
"14","0522","001","6","349-2","0101667","14","12B198","01","40408","0088","3","1","0","00","2022-05-13","00","2022-05-19","2","-","-","01"," ","","","01","01","-","01","00","00",""
"21","0522","004","1","436-A","0205487","21","12A215","02","40024","0079","4","1","0","06","2022-05-19","06","2022-05-19","1","-","-",""," ","","","","","-","","","",""
"21","0522","004","1","436-A","0205487","21","12A215","02","40024","0033","2","1","0","07","2022-05-16","07","2022-05-16","1","-","-",""," ","","","","","-","","","",""
"21","0522","004","1","436-A","0205487","21","12A215","02","40024","0052","3","1","0","00","2022-05-04","00","2022-05-06","1","-","-","01"," ","","","01","01","-","01","00","00",""
