cd,per,mpio,n_ent,ageb,upm,area,fol,ent,con,n_pro_viv,v_sel,n_hog,h_mud,r_pre,fch_pre,r_def,fch_def,e_obs,cta_ent,cta_sup,p1,p2,p3,p4,r_inf,r_ele,tel,r_hab,r_nue,r_aus,obs
"14","0122","001","3","049-8","0100107","14","12A207","01","40007","0066","1","1","0","00","2022-01-15","00","2022-01-20","1","-","-","04","1","","","02","01","-","04","00","00",""
"14","0122","001","3","049-8","0100107","14","12A207","01","40007","0001","4","1","0","00","2022-01-07","00","2022-01-11","1","-","-","06","1","","","01","01","-","06","00","00",""
"14","0122","001","3","049-8","0100107","14","12A207","01","40007","0022","3","1","0","00","2022-01-15","00","2022-01-20","1","-","-","05","1","","","05","02","-","05","00","00",""
"14","0122","001","3","049-8","0100107","14","12A207","01","40007","0095","2","1","0","00","2022-01-07","00","2022-01-11","1","-","-","02","1","","","02","02","-","02","00","00",""
"14","0122","001","7","3613","0101732","14","11B193","01","40048","0020","4","1","0","00","2022-01-03","00","2022-01-11","1","-","-","02","1","","","01","01","-","02","00","00",""
"14","0122","001","7","3613","0101732","14","11B193","01","40048","0046","1","1","0","00","2022-01-11","00","2022-01-17","1","-","-","09","1","","","06","06","-","09","00","00",""
"14","0122","001","7","3613","0101732","14","11B193","01","40048","0104","3","1","0","00","2022-01-03","00","2022-01-11","1","-","-","02","1","","","01","01","-","02","00","00",""
"14","0122","001","7","3613","0101732","14","11B193","01","40048","0076","2","1","0","00","2022-01-03","00","2022-01-11","1","-","-","05","1","","","02","02","-","05","00","00",""
"14","0122","001","6","3365","0101631","14","12B194","01","40212","0174","1","1","0","06","2022-01-10","06","2022-01-11","1","-","-",""," ","","","","","-","","","",""
"14","0122","001","6","3365","0101631","14","12B194","01","40212","0040","2","1","0","00","2022-01-03","00","2022-01-11","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0122","001","6","3365","0101631","14","12B194","01","40212","0179","3","1","0","00","2022-01-03","00","2022-01-11","1","-","-","05","1","","","04","04","-","05","00","00",""
