cd,per,n_ent,fol,ent,con,v_sel,n_hog,h_mud,n_ren,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,factor
"14","0122","3","12A207","01","40007","4","1","0","01","3","2","3","2","3","3","3","3","2","2","2","4","4","3","2",23801
"14","0122","3","12A207","01","40007","3","1","0","02","3","3","3","4","4","4","3","3","2","2","4","6","4","3","3",23801
"14","0122","3","12A207","01","40007","2","1","0","02","3","3","3","3","2","2","2","2","1","1","2","6","3","3","3",11900
"14","0122","3","12A207","01","40007","1","1","0","01","3","3","3","4","4","4","2","3","2","2","4","6","4","3","3",17851
"14","0122","7","11B193","01","40048","4","1","0","01","4","3","4","4","4","4","3","3","2","2","4","6","4","3","3",17061
"14","0122","7","11B193","01","40048","3","1","0","01","4","3","4","2","4","5","3","3","2","2","4","6","3","3","3",17061
"14","0122","7","11B193","01","40048","2","1","0","02","3","3","3","4","4","4","2","3","2","2","3","6","4","3","3",17061
"14","0122","7","11B193","01","40048","1","1","0","06","3","4","3","3","4","5","3","3","2","4","4","6","4","3","3",42652
"14","0122","6","12B194","01","40212","4","1","0","01","3","3","3","4","4","3","2","2","2","2","3","6","5","3","3",35847
"14","0122","6","12B194","01","40212","3","1","0","04","3","2","3","3","4","5","2","3","2","2","3","6","4","3","3",89618
"14","0122","6","12B194","01","40212","2","1","0","01","3","3","3","3","4","4","2","2","2","2","3","6","3","3","3",17924
"14","0122","2","12A208","01","40237","2","1","0","02","4","4","3","4","3","3","3","3","2","2","4","6","5","3","3",15668
"14","0122","2","12A208","01","40237","1","1","0","01","3","2","3","2","3","4","2","2","2","1","2","6","3","3","3",7834
"14","0122","2","12A208","01","40237","3","1","0","02","4","4","3","2","4","4","3","3","2","2","4","6","3","3","3",15668
"14","0122","2","12A208","01","40237","4","1","0","01","3","4","3","3","4","4","2","3","2","2","3","6","4","3","3",15668
"14","0122","8","11B192","01","40265","3","1","0","01","3","4","3","4","4","4","3","3","2","2","3","6","4","3","3",12500
"14","0122","8","11B192","01","40265","1","1","0","01","4","3","4","4","4","4","3","3","2","2","3","6","5","3","3",6250
"14","0122","2","11A208","01","40265","4","1","0","02","3","3","3","3","4","3","2","3","2","1","3","6","4","3","3",14244
