cd,per,mpio,n_ent,ageb,upm,area,fol,ent,con,n_pro_viv,v_sel,n_hog,h_mud,r_pre,fch_pre,r_def,fch_def,e_obs,cta_ent,cta_sup,p1,p2,p3,p4,r_inf,r_ele,tel,r_hab,r_nue,r_aus,obs
"14","0422","001","7","319-1","0101485","14","12B196","01","40085","0067","3","1","0","00","2022-04-01","00","2022-04-19","2","-","-","04","1","","","02","02","-","04","00","00",""
"14","0422","001","7","319-1","0101485","14","12B196","01","40085","0055","2","1","0","00","2022-04-01","00","2022-04-19","2","-","-","05","1","","","03","03","-","05","00","00",""
"14","0422","001","7","319-1","0101485","14","12B196","01","40085","0030","1","1","0","00","2022-04-01","00","2022-04-19","2","-","-","03","1","","","01","02","-","03","00","00",""
"14","0422","001","7","319-1","0101485","14","12B196","01","40085","0125","4","1","0","00","2022-04-09","00","2022-04-19","2","-","-","03","1","","","01","01","-","03","00","00",""
"14","0422","001","7","373-6","0101791","14","11B196","01","40086","0042","2","1","1","00","2022-04-07","00","2022-04-19","2","-","-","05","1","","","02","01","-","05","00","00",""
"14","0422","001","7","373-6","0101791","14","11B196","01","40086","0015","1","1","0","00","2022-04-07","00","2022-04-19","2","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0422","001","7","373-6","0101791","14","11B196","01","40086","0053","4","1","0","00","2022-04-07","00","2022-04-19","2","-","-","05","1","","","01","01","-","05","00","00",""
"14","0422","001","7","373-6","0101791","14","11B196","01","40086","0098","3","1","0","00","2022-04-09","00","2022-04-19","2","-","-","05","1","","","02","02","-","05","00","00",""
"14","0422","001","3","301-1","0101370","14","11B202","01","40111","0012","1","1","0","00","2022-04-07","00","2022-04-09","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0422","001","3","301-1","0101370","14","11B202","01","40111","0035","2","1","0","00","2022-04-07","00","2022-04-09","1","-","-","04","1","","","02","02","-","04","00","00",""
"14","0422","001","3","301-1","0101370","14","11B202","01","40111","0087","4","1","0","00","2022-04-13","00","2022-04-19","2","-","-","05","1","","","01","01","-","05","00","00",""
"14","0422","001","3","301-1","0101370","14","11B202","01","40111","0061","3","1","0","00","2022-04-07","00","2022-04-09","1","-","-","02","1","","","02","02","-","02","00","00",""
"14","0422","001","3","326-1","0101536","14","13B202","01","40112","0071","4","1","0","00","2022-04-07","00","2022-04-19","1","-","-","03","1","","","02","01","-","03","00","00",""
"14","0422","001","3","326-1","0101536","14","13B202","01","40112","0055","3","1","0","00","2022-04-07","00","2022-04-19","1","-","-","04","1","","","02","01","-","04","00","00",""
"14","0422","001","3","326-1","0101536","14","13B202","01","40112","0033","2","1","0","00","2022-04-07","00","2022-04-09","1","-","-","03","1","","","01","01","-","03","00","00",""
"14","0422","001","3","326-1","0101536","14","13B202","01","40112","0013","1","1","0","00","2022-04-07","00","2022-04-09","1","-","-","07","1","","","01","01","-","07","00","00",""
"14","0422","001","2","280-8","0101258","14","11B203","01","40240","0011","4","1","0","00","2022-04-18","00","2022-04-19","1","-","-","06","1","","","01","01","-","06","00","00",""
"14","0422","001","2","280-8","0101258","14","11B203","01","40240","0089","1","1","0","00","2022-04-18","00","2022-04-19","1","-","-","05","1","","","01","03","-","05","00","00",""
"14","0422","001","2","280-8","0101258","14","11B203","01","40240","0068","3","1","0","00","2022-04-18","00","2022-04-19","1","-","-","04","1","","","01","01","-","04","00","00",""
"14","0422","001","2","280-8","0101258","14","11B203","01","40240","0121","2","1","0","00","2022-04-13","00","2022-04-19","1","-","-","05","1","","","01","01","-","05","00","00",""
"14","0422","001","6","130-1","0100391","14","12B197","01","40246","0076","1","1","0","00","2022-04-06","00","2022-04-07","1","-","-","10","1","","","02","02","-","10","00","00",""
"14","0422","001","6","130-1","0100391","14","12B197","01","40246","0029","2","1","0","00","2022-04-06","00","2022-04-07","1","-","-","04","1","","","02","02","-","04","00","00",""
"14","0422","001","6","130-1","0100391","14","12B197","01","40246","0353","3","1","0","00","2022-04-06","00","2022-04-07","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0422","001","6","130-1","0100391","14","12B197","01","40246","0234","4","1","0","00","2022-04-06","00","2022-04-07","1","-","-","02","1","","","02","01","-","02","00","00",""
"14","0422","001","2","268-7","0101118","14","12B203","01","40271","0022","1","1","0","00","2022-04-12","00","2022-04-19","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0422","001","2","268-7","0101118","14","12B203","01","40271","0054","2","1","0","00","2022-04-12","00","2022-04-19","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0422","001","2","268-7","0101118","14","12B203","01","40271","0129","4","1","0","00","2022-04-13","00","2022-04-19","1","-","-","06","1","","","03","03","-","06","00","00",""
"14","0422","001","2","268-7","0101118","14","12B203","01","40271","0094","3","1","0","03","2022-04-19","03","2022-04-20","1","-","-",""," ","","","","","-","","","",""
"14","0422","001","4","398-6","0101947","14","12B201","01","40297","0028","2","1","0","00","2022-04-04","00","2022-04-05","1","-","-","02","1","","","02","02","-","02","00","00",""
"14","0422","001","4","398-6","0101947","14","12B201","01","40297","0079","4","1","0","00","2022-04-04","00","2022-04-05","1","-","-","04","1","","","01","01","-","04","00","00",""
"14","0422","001","4","398-6","0101947","14","12B201","01","40297","0053","3","1","0","00","2022-04-04","00","2022-04-05","1","-","-","06","1","","","02","02","-","06","00","00",""
"14","0422","001","4","398-6","0101947","14","12B201","01","40297","0003","1","1","0","00","2022-04-04","00","2022-04-05","1","-","-","02","1","","","02","02","-","02","00","00",""
"14","0422","001","1","230-A","0100822","14","12B204","01","40305","0018","1","1","0","00","2022-04-08","00","2022-04-19","1","-","-","03","1","","","02","03","-","03","00","00",""
"14","0422","001","1","230-A","0100822","14","12B204","01","40305","0058","2","1","0","00","2022-04-18","00","2022-04-19","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0422","001","1","230-A","0100822","14","12B204","01","40305","0092","3","1","0","00","2022-04-08","00","2022-04-09","1","-","-","06","1","","","02","03","-","06","00","00",""
"14","0422","001","1","230-A","0100822","14","12B204","01","40305","0125","4","1","0","00","2022-04-08","00","2022-04-09","1","-","-","04","1","","","01","02","-","04","00","00",""
"14","0422","001","8","266-8","0101102","14","11B195","01","40341","0112","1","1","0","00","2022-04-01","00","2022-04-05","1","-","-","04","1","","","02","02","-","04","00","00",""
"14","0422","001","8","266-8","0101102","14","11B195","01","40341","0034","3","1","0","00","2022-04-01","00","2022-04-05","1","-","-","04","1","","","03","03","-","04","00","00",""
"14","0422","001","8","266-8","0101102","14","11B195","01","40341","0075","4","1","0","00","2022-04-01","00","2022-04-05","1","-","-","04","1","","","01","01","-","04","00","00",""
"14","0422","001","8","266-8","0101102","14","11B195","01","40341","0152","2","1","0","00","2022-04-01","00","2022-04-05","1","-","-","05","1","","","01","01","-","05","00","01",""
"14","0422","001","5","397-1","0101943","14","11B198","01","40377","0053","2","1","0","06","2022-04-20","06","2022-04-20","1","-","-",""," ","","","","","-","","","",""
"14","0422","001","5","397-1","0101943","14","11B198","01","40377","0112","4","1","0","00","2022-04-08","00","2022-04-09","1","-","-","04","1","","","02","02","-","04","00","01",""
"14","0422","001","5","397-1","0101943","14","11B198","01","40377","0084","3","1","0","00","2022-04-08","00","2022-04-09","1","-","-","03","1","","","02","03","-","03","00","04",""
"14","0422","001","5","397-1","0101943","14","11B198","01","40377","0025","1","1","0","00","2022-04-06","00","2022-04-07","1","-","-","04","1","","","03","03","-","04","00","00",""
"14","0422","001","5","349-2","0101667","14","12B198","01","40408","0016","2","1","0","00","2022-04-05","00","2022-04-05","1","-","-","05","1","","","02","02","-","05","00","00",""
"14","0422","001","5","349-2","0101667","14","12B198","01","40408","0088","3","1","0","00","2022-04-05","00","2022-04-05","1","-","-","01"," ","","","01","01","-","01","00","00",""
"14","0422","001","5","349-2","0101667","14","12B198","01","40408","0054","1","1","0","00","2022-04-05","00","2022-04-05","1","-","-","11","1","","","04","04","-","11","00","00",""
"14","0422","001","5","349-2","0101667","14","12B198","01","40408","0120","4","1","0","00","2022-04-05","00","2022-04-05","1","-","-","03","1","","","03","03","-","03","00","00",""
"21","0422","004","7","665-2","0206495","21","11B196","02","40055","0108","4","1","0","01","2022-04-19","01","2022-04-19","1","-","-",""," ","","","","","-","","","",""
"21","0422","004","7","665-2","0206495","21","11B196","02","40055","0077","3","1","0","00","2022-04-05","00","2022-04-11","2","-","-","02","1","","","01","01","-","02","00","00",""
"21","0422","004","7","665-2","0206495","21","11B196","02","40055","0043","2","1","1","00","2022-04-05","00","2022-04-11","1","-","-","07","1","","","03","03","-","07","00","00",""
