cd,per,mpio,n_ent,ageb,upm,area,fol,ent,con,n_pro_viv,v_sel,n_hog,h_mud,r_pre,fch_pre,r_def,fch_def,e_obs,cta_ent,cta_sup,p1,p2,p3,p4,r_inf,r_ele,tel,r_hab,r_nue,r_aus,obs
14,622,1,2,271-9,101180,14,12A215,1,40023,82,4,1,0,0,2022-06-03,0,2022-06-04,1,-,-,2,1,,,1,1,-,2,0,0,
14,622,1,2,271-9,101180,14,12A215,1,40023,15,1,1,0,0,2022-06-03,0,2022-06-04,1,-,-,3,1,,,1,1,-,3,0,0,
14,622,1,2,271-9,101180,14,12A215,1,40023,58,3,1,0,0,2022-06-03,0,2022-06-04,1,-,-,3,1,,,1,1,-,3,0,0,
14,622,1,2,271-9,101180,14,12A215,1,40023,36,2,1,0,0,2022-06-03,0,2022-06-07,1,-,-,5,1,,,1,2,-,5,0,0,
14,622,1,6,228-2,100809,14,12A201,1,40157,47,2,1,0,0,2022-06-01,0,2022-06-03,1,-,-,1, ,,,1,1,-,1,0,0,
14,622,1,6,228-2,100809,14,12A201,1,40157,76,3,1,0,0,2022-06-07,0,2022-06-07,1,-,-,4,1,,,3,3,-,4,0,0,
14,622,1,6,228-2,100809,14,12A201,1,40157,93,4,1,0,0,2022-06-06,0,2022-06-07,1,-,-,2,1,,,2,2,-,2,0,0,
14,622,1,6,228-2,100809,14,12A201,1,40157,32,1,1,0,0,2022-06-01,0,2022-06-03,1,-,-,1, ,,,1,1,-,1,0,0,
14,622,1,5,401-A,101965,14,13A202,1,40190,120,4,1,0,0,2022-06-02,0,2022-06-03,1,-,-,2,1,,,1,1,-,2,0,0,
14,622,1,5,401-A,101965,14,13A202,1,40190,196,3,1,0,0,2022-06-02,0,2022-06-03,1,-,-,3,1,,,2,2,-,3,0,0,
14,622,1,5,401-A,101965,14,13A202,1,40190,158,2,1,0,0,2022-06-02,0,2022-06-03,1,-,-,4,1,,,1,1,-,4,0,0,
14,622,1,5,401-A,101965,14,13A202,1,40190,35,1,1,0,7,2022-06-21,7,2022-06-21,1,-,-,, ,,,,,-,,,,
14,622,1,4,280-8,101258,14,11B203,1,40240,121,2,1,0,0,2022-06-14,0,2022-06-15,1,-,-,5,1,,,1,1,-,5,0,0,
14,622,1,4,280-8,101258,14,11B203,1,40240,11,4,1,0,0,2022-06-14,0,2022-06-15,1,-,-,6,1,,,1,1,-,6,0,0,
14,622,1,4,280-8,101258,14,11B203,1,40240,68,3,1,0,0,2022-06-07,0,2022-06-07,1,-,-,4,1,,,1,1,-,4,0,0,
14,622,1,4,280-8,101258,14,11B203,1,40240,89,1,1,0,0,2022-06-14,0,2022-06-15,1,-,-,1, ,,,1,1,-,1,0,0,
14,622,1,8,130-1,100391,14,12B197,1,40246,29,2,1,0,0,2022-06-16,0,2022-06-20,2,-,-,4,1,,,2,2,-,4,0,0,
14,622,1,8,130-1,100391,14,12B197,1,40246,76,1,1,0,0,2022-06-16,0,2022-06-20,2,-,-,10,1,,,2,2,-,10,0,0,
14,622,1,8,130-1,100391,14,12B197,1,40246,234,4,1,0,0,2022-06-01,0,2022-06-03,1,-,-,2,1,,,1,1,-,2,0,0,
14,622,1,8,130-1,100391,14,12B197,1,40246,353,3,1,0,0,2022-06-01,0,2022-06-03,1,-,-,1, ,,,1,1,-,1,0,0,
14,622,1,5,221-0,100768,14,11A202,1,40257,14,3,1,0,0,2022-06-09,0,2022-06-13,2,-,-,3,1,,,2,2,-,2,1,2,
14,622,1,5,221-0,100768,14,11A202,1,40257,68,1,1,0,0,2022-06-09,0,2022-06-13,2,-,-,3,1,,,2,2,-,3,0,1,
14,622,1,5,221-0,100768,14,11A202,1,40257,45,4,1,0,0,2022-06-08,0,2022-06-09,1,-,-,10,1,,,2,10,-,10,0,1,
14,622,1,5,221-0,100768,14,11A202,1,40257,90,2,1,0,0,2022-06-08,0,2022-06-09,1,-,-,5,1,,,3,3,-,5,0,0,
14,622,1,4,268-7,101118,14,12B203,1,40271,22,1,1,0,0,2022-06-03,0,2022-06-04,1,-,-,1, ,,,1,1,-,1,0,0,
