cd,per,n_ent,fol,ent,con,v_sel,n_hog,h_mud,n_ren,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,factor
14,1022,7,12A204,1,40005,4,1,0,1,4,3,4,4,4,5,3,3,2,4,4,6,2,3,3,19891
14,1022,7,12A204,1,40005,3,1,0,1,4,3,4,4,4,4,2,3,2,2,4,6,3,3,3,39783
14,1022,7,12A204,1,40005,2,1,0,1,3,3,3,2,4,5,2,3,2,2,3,6,2,3,3,19891
14,1022,7,12A204,1,40005,1,1,0,1,3,2,3,3,4,4,2,3,2,2,4,6,2,3,3,29837
14,1022,3,11A218,1,40029,4,1,0,1,4,4,4,4,4,5,3,3,2,2,3,6,4,3,3,23481
14,1022,3,11A218,1,40029,2,1,0,4,4,4,3,4,4,5,3,3,2,2,3,6,3,3,3,31308
14,1022,3,11A218,1,40029,1,1,0,1,4,4,4,4,4,5,3,3,2,2,4,6,2,3,3,15654
14,1022,3,11A218,1,40029,3,1,0,1,4,3,4,3,4,3,3,3,2,2,4,6,4,3,3,23481
14,1022,3,12A218,1,40095,3,1,0,1,3,4,4,3,4,4,2,3,2,2,4,6,4,3,3,21137
14,1022,3,12A218,1,40095,1,1,0,1,3,4,3,4,4,3,3,3,2,4,3,6,3,3,3,7046
14,1022,3,12A218,1,40095,2,1,0,2,3,4,3,2,4,5,2,3,2,2,4,6,3,3,3,21137
14,1022,3,12A218,1,40095,4,1,0,1,3,3,3,2,4,5,3,3,2,2,3,6,3,3,3,7046
14,1022,6,12A205,1,40165,3,1,0,1,4,4,4,2,5,4,3,3,2,1,3,6,4,3,3,15923
14,1022,6,12A205,1,40165,4,1,0,3,2,3,3,3,3,3,2,2,2,1,3,6,3,3,3,23884
14,1022,6,12A205,1,40165,2,1,0,2,4,4,4,2,5,4,3,3,2,4,3,6,4,3,3,23884
14,1022,6,12A205,1,40165,1,1,0,2,3,2,3,3,4,3,2,2,2,1,3,5,3,3,3,23884
14,1022,2,12B211,1,40188,1,1,0,1,4,4,3,3,5,4,2,3,2,1,3,6,4,3,3,15578
14,1022,2,12B211,1,40188,3,1,0,1,3,3,3,3,4,3,3,3,2,1,3,6,2,3,1,15578
14,1022,2,12B211,1,40188,4,1,0,2,4,4,4,4,5,3,3,3,2,1,2,6,3,3,3,15578
14,1022,2,12B211,1,40188,2,1,0,1,4,2,4,2,5,5,3,3,2,1,3,5,2,3,3,23366
14,1022,5,13A206,1,40294,4,1,0,1,3,2,3,3,4,5,2,2,2,1,3,6,2,3,3,18453
14,1022,5,13A206,1,40294,3,1,0,1,3,2,3,2,4,5,2,3,2,2,3,6,3,3,3,27679
14,1022,5,11A206,1,40324,2,1,0,2,4,3,3,2,4,3,3,3,2,4,4,6,2,3,3,13922
14,1022,5,11A206,1,40324,1,1,0,1,4,3,3,4,4,5,3,3,2,4,3,6,4,3,3,20883
14,1022,5,11A206,1,40324,3,1,0,1,3,2,3,2,4,4,2,3,2,2,3,6,3,3,3,13922
14,1022,5,11A206,1,40324,4,1,0,1,3,2,3,2,4,3,2,3,2,2,3,6,3,3,3,13922
14,1022,1,11B212,1,40350,1,1,0,1,4,3,4,3,4,4,3,3,2,4,4,6,4,3,3,7299
14,1022,1,11B212,1,40350,4,1,0,3,3,2,3,4,4,5,3,3,2,2,4,6,4,3,3,29195
14,1022,1,11B212,1,40350,3,1,0,2,3,2,3,2,4,3,3,3,2,2,4,4,4,3,3,29195
14,1022,1,11B212,1,40350,2,1,0,2,4,4,3,4,4,4,3,3,2,2,3,6,5,3,3,36494
14,1022,1,13B212,1,40355,3,1,0,2,3,2,3,4,4,3,3,3,2,2,4,3,4,3,3,19704
14,1022,1,13B212,1,40355,2,1,0,2,4,3,4,3,3,3,2,3,2,2,3,6,4,3,3,39408
14,1022,1,13B212,1,40355,4,1,0,2,3,2,3,3,4,4,3,3,2,2,4,6,3,3,3,29556
14,1022,1,13B212,1,40355,1,1,0,1,4,2,3,3,4,5,3,3,2,2,4,6,2,3,3,29556
14,1022,8,11A203,1,40387,4,1,0,2,4,4,3,4,4,3,3,3,2,2,4,6,4,3,3,15591
14,1022,8,11A203,1,40387,1,1,0,1,4,4,4,3,4,4,3,3,2,4,4,6,3,3,3,7796
14,1022,8,11A203,1,40387,2,1,0,2,3,4,4,3,4,5,3,3,2,4,4,6,3,3,3,15591
14,1022,8,11A203,1,40387,3,1,0,1,3,4,3,3,4,5,3,3,2,2,4,6,3,3,3,23387
14,1022,4,12A217,1,40411,1,1,0,2,4,3,4,4,5,4,3,3,2,4,4,6,4,3,3,12917
14,1022,4,12A217,1,40411,2,1,0,2,3,3,3,4,4,5,2,3,2,2,4,6,3,3,3,12917
14,1022,4,12A217,1,40411,4,1,0,3,3,2,3,2,4,3,2,3,2,2,4,6,4,3,3,19375
14,1022,8,12A203,1,40419,2,1,0,1,3,2,3,3,4,4,2,3,2,2,4,6,3,3,3,17144
14,1022,8,12A203,1,40419,1,1,0,2,3,4,3,2,4,3,2,3,2,4,4,6,2,3,3,25715
14,1022,8,12A203,1,40419,4,1,0,2,4,4,3,4,4,4,3,3,2,2,4,6,4,3,3,17144
14,1022,8,12A203,1,40419,3,1,0,1,4,3,3,4,4,4,3,3,2,2,4,6,3,3,3,25715
21,1022,7,11A204,2,40034,3,1,0,2,2,2,3,3,3,2,2,2,2,2,3,4,2,3,3,22870
