cd,per,n_ent,fol,ent,con,v_sel,n_hog,h_mud,n_ren,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,factor
14,822,5,12A204,1,40005,3,1,0,1,3,2,3,2,4,4,2,3,2,2,4,6,4,3,3,40015
14,822,5,12A204,1,40005,2,1,0,1,3,3,3,2,4,3,2,3,2,2,3,4,3,3,2,20007
14,822,5,12A204,1,40005,4,1,0,1,4,4,3,4,4,5,3,3,2,4,4,6,2,3,3,20007
14,822,5,12A204,1,40005,1,1,0,1,4,3,4,5,4,4,3,3,2,2,4,6,4,3,3,30011
14,822,4,12A215,1,40023,1,1,0,1,3,2,3,2,4,2,2,3,2,1,3,6,2,3,3,24218
14,822,4,12A215,1,40023,3,1,0,1,3,2,3,2,4,4,2,3,2,2,3,6,3,2,3,16146
14,822,4,12A215,1,40023,4,1,0,1,4,4,3,4,4,4,3,3,2,4,4,6,3,3,3,16146
14,822,4,12A215,1,40023,2,1,0,2,3,4,3,3,4,5,3,3,2,2,4,6,3,3,3,16146
14,822,1,11A218,1,40029,1,1,0,1,4,3,4,4,4,4,2,3,2,4,4,6,3,3,3,15564
14,822,1,11A218,1,40029,4,1,0,1,4,3,4,3,4,4,3,3,2,2,3,6,4,3,3,23346
14,822,1,11A218,1,40029,3,1,0,1,4,3,4,4,4,4,3,3,2,2,4,6,2,3,3,23346
14,822,1,11A218,1,40029,2,1,0,4,3,2,3,3,4,4,3,3,2,2,4,6,4,3,3,31128
14,822,1,12A218,1,40095,1,1,0,1,4,4,4,4,4,4,3,3,2,4,4,6,5,3,3,7087
14,822,1,12A218,1,40095,2,1,0,2,4,4,4,4,4,5,3,3,2,2,3,6,5,3,3,21260
14,822,1,12A218,1,40095,4,1,0,1,3,3,3,3,4,4,2,3,2,2,3,6,1,3,3,7087
14,822,1,12A218,1,40095,3,1,0,1,4,4,3,4,4,4,3,3,2,2,4,6,1,3,3,21260
14,822,8,12A201,1,40157,3,1,0,3,3,2,3,2,4,2,2,3,2,2,4,6,2,3,3,31296
14,822,8,12A201,1,40157,1,1,0,1,4,3,4,3,4,4,3,3,2,4,4,6,2,3,3,7824
14,822,8,12A201,1,40157,2,1,0,1,3,2,3,2,4,5,2,3,2,2,2,6,3,3,3,7824
14,822,8,12A201,1,40157,4,1,0,2,3,2,3,3,4,5,3,3,2,2,4,6,4,3,3,15648
14,822,7,13A202,1,40190,2,1,0,1,2,3,3,2,4,2,1,2,1,1,3,6,3,2,2,24400
14,822,7,13A202,1,40190,3,1,0,2,4,3,4,4,4,4,3,3,2,2,4,6,4,3,3,24400
14,822,7,13A202,1,40190,4,1,0,1,3,2,3,2,4,4,2,2,2,1,3,6,4,3,3,12200
14,822,7,11A202,1,40257,1,1,0,2,4,4,3,3,4,4,3,3,2,2,4,6,4,3,3,15878
14,822,7,11A202,1,40257,3,1,0,2,3,2,3,2,4,3,3,3,2,4,4,6,3,3,3,15878
14,822,7,11A202,1,40257,2,1,0,3,4,4,4,3,4,5,3,3,2,2,4,6,4,3,3,23816
14,822,7,11A202,1,40257,4,1,0,10,3,3,3,4,4,4,3,3,2,2,4,6,3,3,3,55572
14,822,3,11A216,1,40282,1,1,0,2,4,3,4,3,4,3,3,3,2,4,4,6,3,3,3,14250
14,822,3,11A216,1,40282,2,1,0,5,2,2,2,3,4,2,1,3,2,2,2,6,2,3,3,35625
14,822,3,11A216,1,40282,4,1,0,2,4,4,4,2,5,4,3,3,2,4,4,6,4,3,3,14250
14,822,3,11A216,1,40282,3,1,0,1,2,2,2,2,3,2,2,2,1,1,2,5,3,3,3,21375
14,822,3,13A216,1,40283,4,1,0,1,4,4,4,4,4,5,3,3,2,4,4,6,4,3,3,9539
14,822,3,13A216,1,40283,3,1,0,3,3,2,3,2,4,2,2,2,2,2,2,6,2,3,3,28618
14,822,3,13A216,1,40283,2,1,0,1,3,2,3,2,4,5,2,3,2,2,3,6,4,3,3,9539
14,822,3,13A216,1,40283,1,1,0,1,3,3,3,3,3,4,3,3,2,2,3,6,3,3,3,9539
14,822,6,11A203,1,40387,1,1,0,1,3,4,4,4,4,3,3,3,2,2,4,6,3,3,3,7751
14,822,6,11A203,1,40387,2,1,0,2,3,2,3,2,3,3,2,3,2,2,3,6,3,3,3,15501
14,822,6,11A203,1,40387,4,1,0,2,4,4,4,3,4,4,3,3,2,2,4,6,4,3,3,15501
14,822,6,11A203,1,40387,3,1,0,1,4,4,4,4,4,4,3,3,2,2,4,6,3,3,3,23252
14,822,2,12A217,1,40411,2,1,0,2,4,4,4,4,4,4,3,3,2,2,4,6,2,3,3,12992
14,822,2,12A217,1,40411,4,1,0,3,3,2,3,2,4,5,2,3,2,2,3,6,3,3,3,19488
14,822,2,12A217,1,40411,1,1,0,2,4,3,4,2,3,4,3,3,2,2,4,6,3,3,3,12992
14,822,6,12A203,1,40419,4,1,0,2,4,4,4,4,5,4,3,3,2,2,4,6,3,3,3,17243
14,822,6,12A203,1,40419,1,1,0,2,4,4,4,4,4,4,3,3,2,4,2,6,5,3,3,25865
14,822,6,12A203,1,40419,2,1,0,1,3,3,2,3,3,3,2,2,1,1,3,5,3,3,3,17243
14,822,6,12A203,1,40419,3,1,0,1,4,4,4,3,4,5,3,3,2,2,4,6,4,3,3,25865
21,822,4,12A215,2,40024,1,1,0,1,3,3,3,4,4,3,2,3,2,2,4,6,4,3,3,19075
21,822,4,12A215,2,40024,4,1,0,2,3,3,2,2,2,2,2,2,2,2,3,4,2,3,3,25433
21,822,4,12A215,2,40024,3,1,0,1,3,3,3,3,3,2,2,2,1,1,3,3,3,1,3,6358
21,822,8,12A201,2,40027,2,1,0,1,3,3,3,3,3,3,3,3,1,1,3,4,3,3,3,8749
21,822,8,12A201,2,40027,1,1,0,1,3,3,3,3,3,3,2,2,2,2,3,4,3,3,3,8749
21,822,8,12A201,2,40027,3,1,0,1,3,3,3,3,3,4,3,3,2,2,3,4,2,1,3,8749
21,822,8,12A201,2,40027,4,1,0,1,3,3,3,3,3,3,2,2,1,1,2,4,2,3,3,17497
21,822,5,11A204,2,40034,1,1,0,3,2,2,2,2,6,3,1,1,1,1,3,4,3,1,1,22738
21,822,5,11A204,2,40034,3,1,0,2,3,2,3,2,2,4,3,3,2,2,3,6,3,3,2,22738
21,822,5,11A204,2,40034,4,1,0,2,2,2,2,2,2,3,1,2,1,1,2,3,2,1,1,15159
21,822,8,11A201,2,40061,4,1,0,1,3,2,3,2,3,2,2,2,1,1,3,3,2,3,3,18658
21,822,8,11A201,2,40061,1,1,0,2,4,3,4,3,4,3,3,3,2,2,3,3,2,3,3,46646
21,822,8,11A201,2,40061,3,1,0,4,2,1,2,2,2,1,1,2,1,1,1,4,3,3,3,46646
21,822,8,11A201,2,40061,2,1,0,2,3,3,2,3,2,2,3,2,2,4,3,2,2,3,3,37317
21,822,4,11A215,2,40087,4,1,0,2,3,3,3,3,2,3,2,2,1,2,3,4,2,3,1,14390
21,822,4,11A215,2,40087,3,1,0,1,4,3,4,3,3,3,3,2,2,2,3,4,3,3,3,7195
21,822,4,11A215,2,40087,1,1,0,3,4,3,4,3,4,4,3,3,2,2,3,4,3,3,3,28780
21,822,4,11A215,2,40087,2,1,0,1,3,4,3,4,3,4,1,1,1,1,3,6,3,1,1,7195
21,822,5,13A204,2,40099,4,1,0,3,3,3,3,3,4,4,3,3,2,2,3,4,4,3,3,92764
21,822,5,13A204,2,40099,3,1,0,2,3,3,2,3,3,3,2,2,1,1,3,4,2,1,3,37106
21,822,1,11A218,2,40124,4,1,0,1,4,4,4,3,3,6,3,3,2,2,4,4,3,3,3,8835
21,822,1,11A218,2,40124,3,1,0,1,2,1,2,2,3,3,1,2,1,1,3,6,4,2,3,17670
21,822,1,13A218,2,40161,3,1,0,1,3,2,3,2,2,2,2,2,1,1,2,3,1,1,3,19709
21,822,1,13A218,2,40161,4,1,0,1,3,3,3,3,3,3,2,2,1,1,3,6,2,3,3,19709
21,822,1,13A218,2,40161,1,1,0,3,4,2,4,2,3,2,3,3,1,2,3,3,2,3,3,39417
21,822,1,13A218,2,40161,2,1,0,1,2,2,3,3,2,2,2,2,2,1,3,4,3,3,3,19709
21,822,3,12A216,2,40187,1,1,1,1,3,3,3,3,3,3,2,2,2,1,3,6,2,3,3,8109
21,822,3,12A216,2,40187,2,1,0,1,3,6,3,6,2,3,2,2,1,1,3,6,2,3,3,8109
21,822,3,12A216,2,40187,3,1,0,1,2,1,2,2,3,1,2,2,2,1,3,4,2,3,3,24326
21,822,3,12A216,2,40187,4,1,0,1,3,3,3,2,3,2,2,3,1,2,2,2,3,3,3,16217
21,822,7,12A202,2,40252,3,1,0,1,4,4,3,3,4,4,3,2,2,2,3,5,3,3,1,28000
21,822,7,12A202,2,40252,1,1,0,1,2,2,2,2,2,2,3,3,1,1,2,4,2,3,3,18666
21,822,7,12A202,2,40252,2,1,0,1,3,4,3,4,3,4,2,2,2,2,4,4,3,3,3,18666
21,822,7,12A202,2,40252,4,1,1,2,1,2,2,2,2,2,2,2,1,1,2,4,3,3,1,18666
21,822,2,11A217,2,40313,1,1,0,1,3,3,3,3,4,3,3,3,2,2,3,6,2,3,2,7036
21,822,2,11A217,2,40313,3,1,0,3,4,2,4,2,4,3,3,3,2,2,3,6,3,3,3,28146
21,822,2,11A217,2,40313,2,1,0,1,3,3,2,3,4,4,2,2,1,2,3,6,6,3,3,7036
21,822,6,13A203,2,40349,3,1,0,4,3,3,3,3,3,3,2,2,1,2,2,4,2,1,3,25803
21,822,6,13A203,2,40349,4,1,0,1,3,3,3,3,4,2,1,2,2,1,2,4,3,3,3,17202
