cd,per,n_ent,fol,ent,con,v_sel,n_hog,h_mud,n_ren,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,factor
14,622,2,12A215,1,40023,4,1,0,1,4,3,3,4,4,4,3,3,2,2,4,4,2,3,3,15516
14,622,2,12A215,1,40023,3,1,0,1,3,3,3,2,4,4,3,3,2,2,3,6,3,2,2,15516
14,622,2,12A215,1,40023,2,1,0,2,3,2,3,3,3,2,2,3,2,2,3,6,3,3,3,15516
14,622,2,12A215,1,40023,1,1,0,1,2,2,3,2,3,2,2,2,1,1,2,6,4,3,3,23274
14,622,6,12A201,1,40157,4,1,0,2,4,4,3,3,4,5,3,3,2,4,4,6,3,3,3,15038
14,622,6,12A201,1,40157,3,1,0,3,3,2,3,2,4,4,2,3,2,2,3,6,3,3,3,30075
14,622,6,12A201,1,40157,2,1,0,1,3,4,3,4,4,3,3,3,2,2,3,6,4,3,3,7519
14,622,6,12A201,1,40157,1,1,0,1,4,3,4,3,4,4,3,3,2,2,4,6,4,3,3,7519
14,622,5,13A202,1,40190,2,1,0,1,3,2,2,3,3,2,2,2,1,1,3,4,3,1,1,24513
14,622,5,13A202,1,40190,4,1,0,1,3,2,3,2,4,3,2,2,2,1,3,5,2,3,3,12256
14,622,5,13A202,1,40190,3,1,0,2,3,4,3,4,4,4,2,3,2,2,4,6,3,3,3,24513
14,622,4,11B203,1,40240,1,1,0,1,4,3,4,3,4,4,3,3,2,2,4,6,2,3,3,7327
14,622,4,11B203,1,40240,3,1,0,1,3,3,3,2,3,3,2,3,2,2,3,6,3,3,3,14654
14,622,4,11B203,1,40240,2,1,0,1,4,3,3,2,4,4,3,3,2,2,4,6,3,3,3,14654
14,622,4,11B203,1,40240,4,1,0,1,4,2,3,2,4,4,3,3,2,2,4,6,5,3,3,14654
14,622,8,12B197,1,40246,1,1,0,2,4,5,3,4,4,4,3,3,2,4,3,6,2,3,3,52504
14,622,8,12B197,1,40246,4,1,0,1,3,2,3,3,4,4,2,3,2,2,3,6,3,3,3,15001
14,622,8,12B197,1,40246,2,1,0,2,3,2,3,2,4,2,2,3,2,4,3,6,3,3,3,30002
14,622,8,12B197,1,40246,3,1,0,1,3,3,3,3,4,2,2,3,2,2,3,6,3,3,1,7501
14,622,5,11A202,1,40257,1,1,0,2,4,2,3,3,4,4,2,3,2,2,4,4,3,3,3,16009
14,622,5,11A202,1,40257,3,1,0,2,4,2,3,3,4,4,3,3,2,4,4,4,3,3,3,16009
14,622,5,11A202,1,40257,2,1,0,3,4,2,4,3,4,2,3,3,2,2,4,6,3,3,3,24013
14,622,5,11A202,1,40257,4,1,0,10,4,2,4,3,4,2,3,3,2,2,4,6,2,3,3,56030
14,622,4,12B203,1,40271,1,1,0,1,4,3,4,3,4,5,3,3,2,2,4,6,3,3,3,8123
14,622,4,12B203,1,40271,2,1,0,1,4,3,4,3,4,4,3,3,2,2,4,6,2,3,3,8123
14,622,4,12B203,1,40271,4,1,0,3,3,3,3,2,4,4,2,3,2,2,3,4,2,3,3,24369
14,622,1,11A216,1,40282,3,1,0,1,3,2,2,2,2,2,2,2,1,1,2,5,2,3,3,21552
14,622,1,11A216,1,40282,1,1,0,2,4,2,3,2,4,4,3,3,2,4,4,6,3,3,3,14368
14,622,1,11A216,1,40282,2,1,0,5,3,3,3,2,4,3,3,3,2,2,2,6,2,3,3,35919
14,622,1,11A216,1,40282,4,1,0,2,4,4,4,2,5,4,3,3,2,4,4,6,4,3,3,14368
14,622,1,13A216,1,40283,4,1,0,1,4,5,4,5,4,4,3,3,2,2,4,6,4,3,3,9583
14,622,1,13A216,1,40283,3,1,0,3,3,2,3,2,4,4,2,3,2,1,3,6,4,3,3,28750
14,622,1,13A216,1,40283,2,1,0,1,3,2,3,2,4,3,2,2,2,2,4,6,4,3,3,9583
14,622,1,13A216,1,40283,1,1,0,1,2,3,2,3,4,4,2,2,2,1,3,6,2,3,3,9583
14,622,3,12B204,1,40305,1,1,0,3,3,2,3,2,4,4,3,3,2,2,4,6,3,3,3,21492
14,622,3,12B204,1,40305,2,1,0,1,3,3,3,3,4,3,2,3,2,2,3,6,3,3,3,7164
14,622,3,12B204,1,40305,3,1,0,3,4,3,3,4,4,4,2,3,2,2,3,6,3,3,3,28656
14,622,3,12B204,1,40305,4,1,0,2,3,2,3,2,4,4,2,3,2,2,4,5,4,3,3,21492
14,622,7,11B198,1,40377,3,1,0,3,2,2,3,3,3,2,3,3,2,2,2,5,3,3,3,23200
14,622,7,11B198,1,40377,4,1,0,2,3,2,3,2,3,3,3,3,2,1,2,6,2,3,3,15467
14,622,7,11B198,1,40377,1,1,0,3,3,3,3,2,4,3,3,3,2,2,3,6,2,3,3,23200
14,622,7,11B198,1,40377,2,1,0,2,2,2,2,2,4,2,3,3,2,1,2,5,3,3,2,15467
14,622,7,12B198,1,40408,2,1,0,2,3,4,3,3,4,4,3,3,2,2,3,6,3,3,2,21071
