Encuesta Nacional sobre Confianza del Consumidor (ENCO),
,
Nombre de archivo,Título de Tablas
conjunto_de_datos_cb_enco_2022_08,Cuestionario básico
conjunto_de_datos_cs_enco_2022_08,Cuestionario sociodemográfico
conjunto_de_datos_viv_enco_2022_08,Viviendas
