cd,per,mpio,n_ent,ageb,upm,area,fol,ent,con,n_pro_viv,v_sel,n_hog,h_mud,r_pre,fch_pre,r_def,fch_def,e_obs,cta_ent,cta_sup,p1,p2,p3,p4,r_inf,r_ele,tel,r_hab,r_nue,r_aus,obs
14,822,1,5,276-1,101206,14,12A204,1,40005,29,1,1,0,0,2022-08-04,0,2022-08-05,1,-,-,3,1,,,1,1,-,3,0,0,
14,822,1,5,276-1,101206,14,12A204,1,40005,61,2,1,0,0,2022-08-04,0,2022-08-05,1,-,-,2,1,,,1,1,-,2,0,0,
14,822,1,5,276-1,101206,14,12A204,1,40005,141,3,1,0,0,2022-08-04,0,2022-08-05,1,-,-,4,1,,,1,1,-,4,0,0,
14,822,1,5,276-1,101206,14,12A204,1,40005,96,4,1,0,0,2022-08-04,0,2022-08-05,1,-,-,2,1,,,1,1,-,2,0,0,
14,822,1,4,271-9,101180,14,12A215,1,40023,82,4,1,0,0,2022-08-08,0,2022-08-09,1,-,-,2,1,,,1,1,-,2,0,0,
14,822,1,4,271-9,101180,14,12A215,1,40023,15,1,1,0,0,2022-08-08,0,2022-08-09,1,-,-,3,1,,,1,1,-,3,0,0,
14,822,1,4,271-9,101180,14,12A215,1,40023,58,3,1,0,0,2022-08-08,0,2022-08-09,1,-,-,3,1,,,1,1,-,3,0,0,
14,822,1,4,271-9,101180,14,12A215,1,40023,36,2,1,0,0,2022-08-08,0,2022-08-09,1,-,-,5,1,,,2,2,-,5,0,0,
14,822,1,1,380-6,101841,14,11A218,1,40029,32,2,1,0,0,2022-08-12,0,2022-08-17,1,-,-,7,1,,,1,4,-,7,0,0,
14,822,1,1,380-6,101841,14,11A218,1,40029,25,1,1,0,0,2022-08-13,0,2022-08-17,1,-,-,5,1,,,1,1,-,5,0,0,
14,822,1,1,380-6,101841,14,11A218,1,40029,100,3,1,0,0,2022-08-08,0,2022-08-09,1,-,-,3,1,,,1,1,-,3,0,0,
14,822,1,1,380-6,101841,14,11A218,1,40029,88,4,1,0,0,2022-08-12,0,2022-08-17,1,-,-,4,1,,,4,1,-,4,0,0,
14,822,1,1,216-A,100724,14,12A218,1,40095,78,4,1,0,0,2022-08-05,0,2022-08-08,1,-,-,2,1,,,1,1,-,2,0,0,
14,822,1,1,216-A,100724,14,12A218,1,40095,86,3,1,0,0,2022-08-05,0,2022-08-08,1,-,-,3,1,,,2,1,-,3,0,0,
14,822,1,1,216-A,100724,14,12A218,1,40095,60,2,1,0,0,2022-08-05,0,2022-08-08,1,-,-,3,1,,,2,2,-,3,0,0,
14,822,1,1,216-A,100724,14,12A218,1,40095,23,1,1,0,0,2022-08-05,0,2022-08-08,1,-,-,1, ,,,1,1,-,1,0,0,
14,822,1,8,228-2,100809,14,12A201,1,40157,93,4,1,0,0,2022-08-01,0,2022-08-03,1,-,-,2,1,,,2,2,-,2,0,0,
14,822,1,8,228-2,100809,14,12A201,1,40157,76,3,1,0,0,2022-08-01,0,2022-08-03,1,-,-,4,1,,,4,3,-,4,0,0,
14,822,1,8,228-2,100809,14,12A201,1,40157,47,2,1,0,0,2022-08-01,0,2022-08-03,1,-,-,1, ,,,1,1,-,1,0,0,
14,822,1,8,228-2,100809,14,12A201,1,40157,32,1,1,0,0,2022-08-01,0,2022-08-03,1,-,-,1, ,,,1,1,-,1,0,0,
14,822,1,7,401-A,101965,14,13A202,1,40190,35,1,1,0,7,2022-08-22,7,2022-08-22,1,-,-,, ,,,,,-,,,,
14,822,1,7,401-A,101965,14,13A202,1,40190,120,4,1,0,0,2022-08-02,0,2022-08-03,1,-,-,2,1,,,1,1,-,2,0,0,
14,822,1,7,401-A,101965,14,13A202,1,40190,158,2,1,0,0,2022-08-02,0,2022-08-03,1,-,-,4,1,,,1,1,-,4,0,0,
14,822,1,7,401-A,101965,14,13A202,1,40190,196,3,1,0,0,2022-08-02,0,2022-08-03,1,-,-,3,1,,,2,2,-,3,0,0,
14,822,1,7,221-0,100768,14,11A202,1,40257,14,3,1,0,0,2022-08-09,0,2022-08-12,2,-,-,3,1,,,2,2,-,3,0,0,
14,822,1,7,221-0,100768,14,11A202,1,40257,68,1,1,0,0,2022-08-09,0,2022-08-22,2,-,-,3,1,,,1,2,-,3,0,0,
14,822,1,7,221-0,100768,14,11A202,1,40257,90,2,1,0,0,2022-08-09,0,2022-08-12,2,-,-,5,1,,,3,3,-,5,0,0,
14,822,1,7,221-0,100768,14,11A202,1,40257,45,4,1,0,0,2022-08-17,0,2022-08-22,2,-,-,10,1,,,10,10,-,10,0,0,
14,822,1,3,234-8,100867,14,11A216,1,40282,79,1,1,0,0,2022-08-11,0,2022-08-22,2,-,-,5,1,,,2,2,-,5,0,0,
14,822,1,3,234-8,100867,14,11A216,1,40282,23,3,1,0,0,2022-08-11,0,2022-08-22,2,-,-,3,1,,,3,1,-,3,0,0,
14,822,1,3,234-8,100867,14,11A216,1,40282,51,2,1,0,0,2022-08-11,0,2022-08-22,1,-,-,5,1,,,2,5,-,5,0,0,
14,822,1,3,234-8,100867,14,11A216,1,40282,49,4,1,0,0,2022-08-11,0,2022-08-22,2,-,-,4,1,,,1,2,-,4,0,0,
14,822,1,3,329-5,101564,14,13A216,1,40283,80,1,1,0,0,2022-08-02,0,2022-08-03,1,-,-,1, ,,,1,1,-,1,0,0,
14,822,1,3,329-5,101564,14,13A216,1,40283,22,4,1,0,0,2022-08-02,0,2022-08-03,1,-,-,1, ,,,1,1,-,1,0,0,
14,822,1,3,329-5,101564,14,13A216,1,40283,60,3,1,0,0,2022-08-03,0,2022-08-04,1,-,-,3,1,,,3,3,-,3,0,0,
14,822,1,3,329-5,101564,14,13A216,1,40283,36,2,1,0,0,2022-08-03,0,2022-08-04,1,-,-,1, ,,,1,1,-,1,0,0,
14,822,1,6,325-7,101517,14,11A203,1,40387,44,2,1,0,0,2022-08-10,0,2022-08-12,2,-,-,4,1,,,2,2,-,4,0,1,
14,822,1,6,325-7,101517,14,11A203,1,40387,69,3,1,0,0,2022-08-11,0,2022-08-12,2,-,-,6,1,,,1,1,-,6,0,0,
14,822,1,6,325-7,101517,14,11A203,1,40387,20,1,1,0,0,2022-08-11,0,2022-08-12,2,-,-,3,1,,,1,1,-,3,0,0,
14,822,1,6,325-7,101517,14,11A203,1,40387,98,4,1,0,0,2022-08-10,0,2022-08-12,2,-,-,2,1,,,2,2,-,2,0,0,
14,822,1,2,056-8,100162,14,12A217,1,40411,44,1,1,0,0,2022-08-03,0,2022-08-04,1,-,-,2,1,,,2,2,-,2,0,0,
14,822,1,2,056-8,100162,14,12A217,1,40411,17,4,1,0,0,2022-08-16,0,2022-08-17,1,-,-,3,1,,,1,3,-,3,0,0,
14,822,1,2,056-8,100162,14,12A217,1,40411,98,3,1,0,2,2022-08-22,2,2022-08-22,1,-,-,, ,,,,,-,,,,
14,822,1,2,056-8,100162,14,12A217,1,40411,70,2,1,0,0,2022-08-16,0,2022-08-17,1,-,-,3,1,,,2,2,-,3,0,0,
14,822,1,6,333-1,101610,14,12A203,1,40419,19,1,1,0,0,2022-08-12,0,2022-08-22,2,-,-,3,1,,,2,2,-,3,0,0,
14,822,1,6,333-1,101610,14,12A203,1,40419,96,4,1,0,0,2022-08-12,0,2022-08-22,2,-,-,2,1,,,2,2,-,2,0,1,
14,822,1,6,333-1,101610,14,12A203,1,40419,73,3,1,0,0,2022-08-12,0,2022-08-22,2,-,-,6,1,,,1,1,-,6,0,0,
