cd,per,n_ent,fol,ent,con,v_sel,n_hog,h_mud,n_ren,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,factor
"14","0322","6","12B196","01","40085","2","1","0","03","3","4","3","3","4","4","2","3","2","2","4","6","4","3","3",33811
"14","0322","6","12B196","01","40085","3","1","0","02","4","4","4","4","4","4","3","3","2","2","4","6","2","3","3",33811
"14","0322","6","12B196","01","40085","4","1","0","01","3","4","3","4","4","3","3","3","2","2","3","6","3","3","1",22541
"14","0322","6","12B196","01","40085","1","1","0","02","3","2","3","2","4","3","2","3","2","2","3","6","3","3","3",22541
"14","0322","6","11B196","01","40086","1","1","0","01","3","2","3","2","4","4","2","2","2","2","3","6","4","3","3",7603
"14","0322","6","11B196","01","40086","4","1","0","01","4","4","4","3","4","4","3","3","2","2","3","6","4","3","3",15206
"14","0322","6","11B196","01","40086","3","1","0","02","3","3","3","4","4","5","2","3","2","2","4","6","4","3","3",22809
"14","0322","6","11B196","01","40086","2","1","1","01","3","2","3","2","4","3","1","2","2","2","2","6","3","1","2",30413
"14","0322","2","11B202","01","40111","4","1","0","01","3","4","3","4","4","3","2","3","2","4","4","6","4","3","3",23144
"14","0322","2","11B202","01","40111","1","1","0","01","4","3","4","3","4","4","3","3","2","2","4","6","4","3","2",7715
"14","0322","2","11B202","01","40111","2","1","0","02","4","3","4","3","4","4","3","3","2","2","4","6","4","3","3",15429
"14","0322","2","11B202","01","40111","3","1","0","02","4","3","3","3","4","4","2","3","2","2","3","6","3","3","3",15429
"14","0322","2","13B202","01","40112","1","1","0","01","3","4","3","4","4","4","2","3","2","2","4","6","3","3","3",31507
"14","0322","2","13B202","01","40112","4","1","0","01","3","4","3","3","4","4","3","3","2","2","3","6","4","3","3",31507
"14","0322","2","13B202","01","40112","3","1","0","01","3","2","3","2","4","4","3","3","2","2","4","6","3","3","3",21004
"14","0322","2","13B202","01","40112","2","1","0","01","3","3","3","3","4","4","2","3","2","2","4","6","3","3","1",21004
"14","0322","8","12B194","01","40212","4","1","0","01","3","3","3","2","4","3","2","3","2","2","4","6","3","3","3",32363
"14","0322","8","12B194","01","40212","2","1","0","01","3","3","3","3","4","3","2","2","2","2","3","4","3","3","3",16182
"14","0322","8","12B194","01","40212","3","1","0","04","3","2","3","2","4","3","2","2","2","2","3","6","4","3","3",80909
"14","0322","4","12A208","01","40237","2","1","0","02","3","2","3","3","3","2","3","3","2","2","2","6","2","3","3",14435
"14","0322","4","12A208","01","40237","1","1","0","01","2","2","2","2","2","3","1","2","1","1","2","4","2","3","3",7217
"14","0322","4","12A208","01","40237","3","1","0","02","4","2","4","4","5","4","3","3","2","2","4","5","2","3","3",14435
"14","0322","4","12A208","01","40237","4","1","0","01","3","3","3","3","3","3","2","3","2","1","3","5","3","3","3",14435
"14","0322","1","11B203","01","40240","2","1","0","01","4","2","2","2","4","2","3","3","2","2","2","5","3","3","3",14266
"14","0322","1","11B203","01","40240","3","1","0","01","3","3","3","2","3","3","2","3","1","2","3","6","2","3","3",14266
"14","0322","1","11B203","01","40240","4","1","0","01","2","2","3","2","4","4","3","3","2","2","2","6","3","3","3",14266
"14","0322","1","11B203","01","40240","1","1","0","03","4","2","3","2","4","4","2","3","2","2","4","6","3","3","3",21399
"14","0322","5","12B197","01","40246","3","1","0","01","3","3","3","3","4","4","2","3","2","2","3","6","4","3","2",7360
"14","0322","5","12B197","01","40246","2","1","0","02","4","3","4","4","4","4","3","3","2","2","4","6","4","3","3",29441
"14","0322","5","12B197","01","40246","1","1","0","02","4","2","4","2","4","2","3","3","2","4","4","6","2","3","3",51523
"14","0322","5","12B197","01","40246","4","1","0","01","3","4","3","3","4","5","3","3","2","2","4","6","3","3","3",14721
"14","0322","4","11A208","01","40265","4","1","0","02","3","2","3","2","4","3","1","2","2","1","3","6","4","3","3",14083
"14","0322","4","11A208","01","40265","3","1","1","01","3","2","3","2","4","4","2","3","2","2","3","4","3","3","3",21125
"14","0322","4","11A208","01","40265","2","1","0","02","3","3","3","3","3","4","3","3","2","2","3","6","3","3","3",14083
"14","0322","4","11A208","01","40265","1","1","0","01","4","3","3","4","4","3","3","3","2","2","3","6","4","3","3",7042
"14","0322","1","12B203","01","40271","2","1","0","01","4","5","4","5","5","5","3","3","2","2","4","6","5","3","3",7902
"14","0322","1","12B203","01","40271","1","1","0","01","4","5","4","5","5","5","3","3","2","4","4","6","5","3","3",7902
"14","0322","1","12B203","01","40271","4","1","0","03","3","3","3","3","4","3","1","2","1","1","3","5","3","3","3",23707
"14","0322","8","11B194","01","40272","1","1","0","01","4","3","3","4","4","5","3","3","2","2","4","6","4","3","3",14441
"14","0322","8","11B194","01","40272","4","1","0","02","3","2","3","3","4","4","2","3","2","2","4","6","3","3","3",28883
"14","0322","8","11B194","01","40272","2","1","0","01","4","3","4","3","4","4","3","3","2","2","4","6","4","3","3",14441
"14","0322","8","11B194","01","40272","3","1","0","01","3","3","3","2","4","4","2","3","2","2","4","6","4","2","2",14441
"14","0322","3","12B201","01","40297","3","1","0","02","4","3","4","3","4","4","3","3","2","2","4","6","3","3","3",16130
