cd,per,n_ent,fol,ent,con,v_sel,n_hog,h_mud,n_ren,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,factor
"14","0722","3","12A215","01","40023","3","1","0","01","4","4","4","3","4","4","3","3","2","2","2","4","2","2","3",15864
"14","0722","3","12A215","01","40023","2","1","0","02","3","2","3","4","4","4","3","3","2","2","3","6","3","3","2",15864
"14","0722","3","12A215","01","40023","1","1","0","01","3","2","3","2","4","2","2","2","1","1","2","6","3","3","3",23797
"14","0722","3","12A215","01","40023","4","1","0","01","4","4","3","4","4","4","3","3","2","2","4","6","4","3","3",15864
"14","0722","7","12A201","01","40157","2","1","0","01","3","2","3","2","4","2","2","3","2","2","3","6","2","3","3",7688
"14","0722","7","12A201","01","40157","3","1","0","03","3","2","3","2","3","3","2","3","2","2","4","6","3","3","3",30751
"14","0722","7","12A201","01","40157","1","1","0","01","4","3","4","3","4","4","3","3","2","4","3","6","3","3","3",7688
"14","0722","7","12A201","01","40157","4","1","0","02","3","2","3","2","4","4","2","3","2","2","4","6","4","3","3",15375
"14","0722","6","13A202","01","40190","3","1","0","02","4","3","3","3","4","5","3","3","2","2","3","6","4","3","3",24661
"14","0722","6","13A202","01","40190","2","1","0","01","3","2","2","2","4","3","1","2","1","1","3","6","2","2","2",24661
"14","0722","6","13A202","01","40190","4","1","0","01","3","2","3","2","4","3","2","2","2","1","3","6","3","3","3",12330
"14","0722","6","11A202","01","40257","4","1","0","10","4","3","4","3","4","4","3","3","2","2","3","6","3","3","3",56751
"14","0722","6","11A202","01","40257","3","1","0","02","3","2","3","2","4","4","3","3","2","4","3","6","3","3","3",16215
"14","0722","6","11A202","01","40257","2","1","0","03","3","2","4","2","4","4","3","3","2","2","4","6","4","3","3",24322
"14","0722","6","11A202","01","40257","1","1","0","02","4","4","3","2","4","4","3","3","2","2","3","6","4","3","3",16215
"14","0722","2","11A216","01","40282","4","1","0","02","4","3","2","3","3","3","2","3","2","1","3","6","5","3","3",14553
"14","0722","2","11A216","01","40282","1","1","0","02","3","4","3","4","4","3","2","3","2","4","4","6","2","3","3",14553
"14","0722","2","11A216","01","40282","3","1","0","01","3","4","3","3","4","4","3","3","2","2","4","6","4","3","3",21829
"14","0722","2","11A216","01","40282","2","1","0","05","4","2","3","2","4","3","3","3","2","2","3","6","3","3","3",36381
"14","0722","2","13A216","01","40283","2","1","0","01","3","2","3","2","3","2","2","3","2","2","3","6","4","3","3",9641
"14","0722","2","13A216","01","40283","1","1","0","01","3","2","3","2","4","3","2","3","2","1","3","6","2","3","3",9641
"14","0722","2","13A216","01","40283","4","1","0","01","4","3","4","3","4","4","3","3","2","2","4","6","4","3","3",9641
"14","0722","2","13A216","01","40283","3","1","0","03","3","2","3","2","4","4","2","2","2","2","2","6","4","3","3",28923
"14","0722","4","12B204","01","40305","2","1","0","01","2","2","2","2","3","2","2","2","1","1","2","3","2","3","3",7325
"14","0722","4","12B204","01","40305","3","1","0","03","4","4","4","4","5","4","3","3","2","2","4","5","3","3","3",29300
"14","0722","4","12B204","01","40305","4","1","0","02","4","4","3","3","4","4","3","3","2","2","4","6","3","3","3",21975
"14","0722","4","12B204","01","40305","1","1","0","03","3","3","3","3","3","2","1","2","1","1","3","6","2","2","3",21975
"14","0722","8","11B198","01","40377","3","1","0","03","4","2","3","2","4","4","3","3","2","2","5","6","4","3","3",23498
"14","0722","8","11B198","01","40377","4","1","0","02","3","4","3","2","4","3","3","3","2","2","4","6","3","3","3",15665
"14","0722","8","11B198","01","40377","2","1","0","02","3","2","3","2","4","2","2","3","2","2","3","6","3","3","3",15665
"14","0722","8","11B198","01","40377","1","1","0","03","3","2","3","2","4","4","2","3","2","2","3","6","3","3","3",23498
"14","0722","5","11A203","01","40387","3","1","0","01","4","4","4","2","5","4","3","3","2","2","3","6","4","3","3",23746
"14","0722","5","11A203","01","40387","2","1","0","03","3","3","3","3","3","2","2","2","2","1","3","5","2","3","3",23746
"14","0722","5","11A203","01","40387","4","1","0","02","4","2","3","3","3","3","3","3","2","2","4","5","4","3","3",15830
"14","0722","5","11A203","01","40387","1","1","0","01","4","2","4","2","5","2","3","3","2","4","4","6","3","3","3",7915
"14","0722","8","12B198","01","40408","1","1","0","05","3","2","3","2","4","4","2","3","2","4","4","6","4","3","3",21544
"14","0722","8","12B198","01","40408","2","1","0","02","3","2","3","2","4","2","2","3","2","2","3","6","3","3","2",21544
"14","0722","8","12B198","01","40408","3","1","0","01","4","3","4","3","4","4","3","3","2","2","4","6","4","3","2",7181
"14","0722","8","12B198","01","40408","4","1","0","03","3","2","3","2","3","2","3","3","2","4","2","4","2","3","3",21544
"14","0722","1","12A217","01","40411","2","1","0","02","4","4","3","4","4","4","2","3","2","2","4","6","3","3","3",12766
"14","0722","1","12A217","01","40411","4","1","0","03","3","2","4","2","4","4","2","3","2","4","3","6","4","3","3",19149
"14","0722","1","12A217","01","40411","1","1","0","02","4","3","4","3","4","2","2","3","2","2","4","6","2","3","3",12766
"14","0722","5","12A203","01","40419","2","1","0","01","3","2","3","2","4","2","2","3","2","2","3","6","3","3","3",16943
"14","0722","5","12A203","01","40419","1","1","0","02","3","2","3","2","3","2","2","3","2","2","3","6","2","3","3",25415
"14","0722","5","12A203","01","40419","4","1","0","02","4","3","3","3","4","5","3","3","2","4","4","6","3","3","3",25415
"14","0722","5","12A203","01","40419","3","1","0","01","4","3","3","2","4","2","3","3","2","2","4","6","3","3","3",25415
"21","0722","3","12A215","02","40024","4","1","0","02","3","2","2","2","2","2","2","2","2","2","3","3","2","3","3",24990
"21","0722","3","12A215","02","40024","1","1","0","01","4","3","4","3","4","4","3","3","2","2","3","4","3","3","3",18742
"21","0722","3","12A215","02","40024","3","1","0","01","3","3","3","3","3","2","2","2","1","1","3","3","2","1","1",6247
"21","0722","7","12A201","02","40027","3","1","0","01","3","3","3","3","3","4","3","3","2","2","3","4","2","3","3",8596
"21","0722","7","12A201","02","40027","4","1","0","01","3","3","3","3","3","3","1","3","1","1","2","3","3","3","3",17192
"21","0722","7","12A201","02","40027","1","1","0","01","3","3","3","3","2","3","2","3","2","2","3","6","3","3","3",8596
"21","0722","7","12A201","02","40027","2","1","0","01","3","3","3","3","4","3","2","2","1","1","3","5","3","3","3",8596
"21","0722","7","11A201","02","40061","4","1","0","01","2","2","2","2","2","2","1","2","2","1","3","4","2","3","3",19054
"21","0722","7","11A201","02","40061","3","1","0","04","2","1","2","1","3","2","1","2","1","1","2","5","3","3","3",47636
"21","0722","7","11A201","02","40061","1","1","0","02","4","3","4","3","4","3","3","2","2","2","3","3","2","3","3",47636
"21","0722","7","11A201","02","40061","2","1","0","02","2","2","2","2","3","2","3","3","1","4","3","3","2","3","3",38108
"21","0722","3","11A215","02","40087","4","1","0","02","3","3","3","3","2","3","2","1","1","2","3","4","3","3","1",14695
"21","0722","3","11A215","02","40087","2","1","0","01","2","4","2","4","2","4","1","1","2","2","3","6","4","1","3",7348
"21","0722","3","11A215","02","40087","3","1","0","01","3","2","3","2","2","3","3","2","1","2","2","3","3","3","3",7348
"21","0722","2","12A216","02","40187","1","1","0","04","4","5","2","3","4","3","2","3","1","1","3","5","3","3","3",47805
"21","0722","2","12A216","02","40187","3","1","0","01","2","1","1","1","1","1","1","1","2","1","2","5","2","1","1",31870
"21","0722","2","12A216","02","40187","2","1","0","01","2","2","2","2","2","6","1","3","1","1","2","4","2","1","3",7967
"21","0722","2","12A216","02","40187","4","1","0","01","2","2","2","1","2","2","1","2","1","1","3","2","3","3","3",15935
"21","0722","6","12A202","02","40252","2","1","0","01","3","4","3","4","3","4","1","2","2","2","4","4","3","3","3",18341
"21","0722","6","12A202","02","40252","4","1","1","02","1","1","2","1","2","2","3","2","1","1","2","3","3","3","1",18341
"21","0722","6","12A202","02","40252","3","1","0","01","4","3","4","3","3","3","3","2","2","2","3","4","3","3","3",27512
"21","0722","6","12A202","02","40252","1","1","0","01","2","2","3","2","2","2","3","2","1","1","2","2","2","3","3",18341
"21","0722","4","11B204","02","40303","1","1","0","01","4","2","2","2","4","2","3","3","1","1","2","6","2","1","1",16391
"21","0722","4","11B204","02","40303","3","1","0","02","4","2","3","2","3","2","3","2","2","1","2","3","4","3","3",16391
"21","0722","4","11B204","02","40303","2","1","0","01","3","3","3","3","3","3","3","2","2","2","3","3","2","3","2",16391
"21","0722","4","13B204","02","40305","3","1","0","01","2","3","2","3","3","3","1","2","1","1","2","5","3","1","1",19245
"21","0722","4","13B204","02","40305","4","1","0","03","3","3","3","2","4","3","1","2","1","4","3","4","2","3","3",28868
"21","0722","4","13B204","02","40305","2","1","0","01","3","6","2","3","4","3","2","2","2","2","3","3","3","2","3",38491
"21","0722","1","11A217","02","40313","3","1","0","03","3","3","3","2","4","4","3","3","2","1","3","6","3","3","3",21557
"21","0722","1","11A217","02","40313","1","1","0","01","3","2","3","2","3","3","2","2","1","1","3","3","3","3","3",7186
"21","0722","8","13B198","02","40347","1","1","0","04","1","2","2","1","3","3","1","1","1","4","2","6","3","1","1",25218
"21","0722","8","13B198","02","40347","3","1","0","02","2","1","1","1","3","3","1","1","1","1","1","6","2","1","1",16812
"21","0722","8","13B198","02","40347","2","1","2","02","3","2","3","2","4","5","1","2","2","2","4","6","4","3","1",16812
"21","0722","8","13B198","02","40347","4","1","1","02","3","2","3","2","4","3","2","2","1","1","3","6","4","3","3",16812
"21","0722","5","13A203","02","40349","4","1","0","01","3","3","3","2","4","3","1","2","2","1","3","5","2","3","3",17385
"21","0722","1","12A217","02","40375","4","1","0","01","3","3","3","3","3","4","2","2","2","1","3","6","2","3","3",6285
