cd,per,mpio,n_ent,ageb,upm,area,fol,ent,con,n_pro_viv,v_sel,n_hog,h_mud,r_pre,fch_pre,r_def,fch_def,e_obs,cta_ent,cta_sup,p1,p2,p3,p4,r_inf,r_ele,tel,r_hab,r_nue,r_aus,obs
14,922,1,6,276-1,101206,14,12A204,1,40005,141,3,1,0,0,2022-09-05,0,2022-09-06,2,-,-,4,1,,,2,1,-,4,0,0,
14,922,1,6,276-1,101206,14,12A204,1,40005,29,1,1,0,0,2022-09-05,0,2022-09-06,2,-,-,3,1,,,2,1,-,3,0,0,
14,922,1,6,276-1,101206,14,12A204,1,40005,61,2,1,0,0,2022-09-05,0,2022-09-05,2,-,-,2,1,,,1,1,-,2,0,0,
14,922,1,6,276-1,101206,14,12A204,1,40005,96,4,1,0,0,2022-09-05,0,2022-09-05,2,-,-,2,1,,,1,1,-,2,0,0,
14,922,1,2,380-6,101841,14,11A218,1,40029,88,4,1,0,0,2022-09-07,0,2022-09-07,2,-,-,4,1,,,1,1,-,4,0,0,
14,922,1,2,380-6,101841,14,11A218,1,40029,25,1,1,0,0,2022-09-07,0,2022-09-07,2,-,-,5,1,,,1,1,-,5,0,0,
14,922,1,2,380-6,101841,14,11A218,1,40029,100,3,1,0,0,2022-09-07,0,2022-09-07,2,-,-,3,1,,,1,1,-,3,0,0,
14,922,1,2,380-6,101841,14,11A218,1,40029,32,2,1,0,0,2022-09-07,0,2022-09-14,2,-,-,7,1,,,1,4,-,7,0,0,
14,922,1,2,216-A,100724,14,12A218,1,40095,78,4,1,0,0,2022-09-12,0,2022-09-14,2,-,-,2,1,,,1,1,-,2,0,0,
14,922,1,2,216-A,100724,14,12A218,1,40095,86,3,1,0,0,2022-09-12,0,2022-09-14,2,-,-,3,1,,,1,1,-,3,0,0,
14,922,1,2,216-A,100724,14,12A218,1,40095,23,1,1,0,0,2022-09-16,0,2022-09-21,2,-,-,1, ,,,1,1,-,1,0,0,
14,922,1,2,216-A,100724,14,12A218,1,40095,60,2,1,0,0,2022-09-16,0,2022-09-21,2,-,-,3,1,,,2,2,-,3,0,0,
14,922,1,5,285-0,101288,14,12A205,1,40165,3,1,1,0,0,2022-09-13,0,2022-09-14,2,-,-,3,1,,,1,2,-,3,0,0,
14,922,1,5,285-0,101288,14,12A205,1,40165,74,4,1,0,0,2022-09-15,0,2022-09-21,2,-,-,3,1,,,1,3,-,3,0,0,
14,922,1,5,285-0,101288,14,12A205,1,40165,26,2,1,0,0,2022-09-13,0,2022-09-14,2,-,-,3,1,,,2,2,-,3,0,0,
14,922,1,5,285-0,101288,14,12A205,1,40165,53,3,1,0,0,2022-09-13,0,2022-09-14,2,-,-,4,1,,,1,1,-,4,0,0,
14,922,1,1,271-9,101178,14,12B211,1,40188,48,2,1,0,0,2022-09-15,0,2022-09-21,2,-,-,4,1,,,2,1,-,4,0,0,
14,922,1,1,271-9,101178,14,12B211,1,40188,80,3,1,0,0,2022-09-15,0,2022-09-21,2,-,-,4,1,,,2,1,-,4,0,0,
14,922,1,1,271-9,101178,14,12B211,1,40188,109,1,1,0,0,2022-09-15,0,2022-09-21,2,-,-,4,1,,,1,1,-,4,0,0,
14,922,1,1,271-9,101178,14,12B211,1,40188,34,4,1,0,0,2022-09-15,0,2022-09-21,2,-,-,3,1,,,1,2,-,3,0,0,
