cd,per,mpio,n_ent,ageb,upm,area,fol,ent,con,n_pro_viv,v_sel,n_hog,h_mud,r_pre,fch_pre,r_def,fch_def,e_obs,cta_ent,cta_sup,p1,p2,p3,p4,r_inf,r_ele,tel,r_hab,r_nue,r_aus,obs
14,1022,1,7,276-1,101206,14,12A204,1,40005,61,2,1,0,0,2022-10-03,0,2022-10-05,1,-,-,2,1,,,1,1,-,2,0,0,
14,1022,1,7,276-1,101206,14,12A204,1,40005,141,3,1,0,0,2022-10-03,0,2022-10-05,1,-,-,4,1,,,1,1,-,4,0,0,
14,1022,1,7,276-1,101206,14,12A204,1,40005,96,4,1,0,0,2022-10-03,0,2022-10-05,1,-,-,2,1,,,1,1,-,2,0,0,
14,1022,1,7,276-1,101206,14,12A204,1,40005,29,1,1,0,0,2022-10-03,0,2022-10-05,1,-,-,3,1,,,1,1,-,3,0,0,
14,1022,1,3,380-6,101841,14,11A218,1,40029,88,4,1,0,0,2022-10-14,0,2022-10-17,1,-,-,4,1,,,1,1,-,4,0,0,
14,1022,1,3,380-6,101841,14,11A218,1,40029,100,3,1,0,0,2022-10-10,0,2022-10-13,1,-,-,3,1,,,1,1,-,3,0,0,
14,1022,1,3,380-6,101841,14,11A218,1,40029,25,1,1,0,0,2022-10-12,0,2022-10-17,1,-,-,5,1,,,1,1,-,5,0,0,
14,1022,1,3,380-6,101841,14,11A218,1,40029,32,2,1,0,0,2022-10-14,0,2022-10-21,2,-,-,7,1,,,1,4,-,7,0,0,
14,1022,1,3,216-A,100724,14,12A218,1,40095,86,3,1,0,0,2022-10-06,0,2022-10-08,2,-,-,3,1,,,1,1,-,3,0,0,
14,1022,1,3,216-A,100724,14,12A218,1,40095,60,2,1,0,0,2022-10-06,0,2022-10-08,2,-,-,3,1,,,2,2,-,3,0,0,
14,1022,1,3,216-A,100724,14,12A218,1,40095,23,1,1,0,0,2022-10-04,0,2022-10-05,1,-,-,1, ,,,1,1,-,1,0,0,
14,1022,1,3,216-A,100724,14,12A218,1,40095,78,4,1,0,0,2022-10-06,0,2022-10-08,1,-,-,2,1,,,1,1,-,2,0,0,
