cd,per,n_ent,fol,ent,con,v_sel,n_hog,h_mud,n_ren,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,factor
14,1222,2,11B213,1,40003,1,1,0,1,3,4,3,4,4,3,3,3,2,2,4,6,3,3,3,7126
14,1222,2,11B213,1,40003,2,1,0,1,4,3,4,3,4,2,3,3,2,2,4,6,4,3,3,7126
14,1222,2,11B213,1,40003,3,1,0,2,3,3,3,2,4,3,2,3,2,2,3,6,3,3,3,35628
14,1222,2,11B213,1,40003,4,1,0,1,4,4,4,2,4,4,3,3,2,4,4,6,2,3,3,7126
14,1222,6,12A207,1,40007,4,1,0,1,3,2,3,2,4,2,3,3,2,2,4,6,3,3,3,24208
14,1222,6,12A207,1,40007,1,1,0,1,3,2,2,3,4,3,1,2,2,1,2,6,2,3,1,18156
14,1222,6,12A207,1,40007,3,1,0,2,4,3,3,4,4,4,3,3,2,2,4,6,4,3,1,24208
14,1222,6,12A207,1,40007,2,1,0,2,3,4,3,2,4,3,3,3,2,4,4,6,4,3,3,12104
14,1222,2,12B213,1,40034,4,1,0,2,4,4,4,4,4,5,3,3,2,2,3,6,2,2,2,43021
14,1222,2,12B213,1,40034,1,1,0,2,4,2,3,2,4,4,3,3,2,2,4,6,4,3,3,25813
14,1222,2,12B213,1,40034,3,1,0,1,3,3,3,2,4,4,2,3,2,2,3,6,3,3,3,17209
14,1222,2,12B213,1,40034,2,1,0,1,4,2,3,3,4,4,2,3,2,2,4,6,4,3,3,17209
14,1222,8,12A205,1,40165,4,1,0,3,3,3,3,3,3,3,2,3,2,2,4,6,2,2,3,25121
14,1222,8,12A205,1,40165,3,1,0,1,4,4,4,2,4,4,3,3,2,2,4,6,3,3,3,16748
14,1222,8,12A205,1,40165,2,1,0,2,3,3,3,3,3,5,3,3,2,4,4,6,4,3,3,25121
14,1222,8,12A205,1,40165,1,1,0,2,2,2,2,2,4,4,2,3,2,2,4,6,3,3,3,25121
14,1222,4,12B211,1,40188,3,1,0,1,4,4,4,3,4,4,3,3,2,2,4,6,2,3,3,16384
14,1222,4,12B211,1,40188,2,1,0,1,1,2,4,3,4,4,3,3,2,2,4,6,4,3,3,24577
14,1222,4,12B211,1,40188,4,1,0,2,3,3,3,2,4,4,3,3,2,2,4,6,3,3,3,16384
14,1222,4,12B211,1,40188,1,1,0,1,2,3,2,3,3,3,2,3,1,1,2,6,3,3,2,16384
14,1222,5,12A208,1,40237,4,1,0,1,4,4,4,3,4,5,3,3,2,2,4,6,2,3,2,16499
14,1222,5,12A208,1,40237,3,1,0,2,3,4,3,2,4,4,3,3,2,2,4,6,3,3,3,16499
14,1222,5,12A208,1,40237,2,1,0,2,4,4,3,4,4,3,3,3,2,2,4,6,2,3,3,16499
14,1222,5,12A208,1,40237,1,1,0,1,3,2,3,2,4,5,2,3,2,2,2,6,3,3,2,8250
